CANONICAL_SMILES,INCHIKEY,active,common_name,action_type,FDA_recommended,pChEMBL mean,pChEMBL std,appears_in_N_ChEMBL_assays,appears_in_N_datasets,dataset_ChEMBL_curated,dataset_FDA,dataset_aid2845,dataset_aid643122,dataset_flockheart,inclusion_score
COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,SUBDBMMJDZJVOS-UHFFFAOYSA-N,True,omeprazole,agonist,True,,,,3,False,True,False,True,True,3
CC(C)c1c(O)cc(/C=C/c2ccccc2)cc1O,ZISJNXNHJRQYJO-CMDGGOBGSA-N,True,TAPINAROF,agonist,False,7.564999999999999,0.0070710678118656,2.0,1,True,False,False,False,False,3
O=[N+]([O-])c1cc(-c2nc(-c3ccncc3)no2)cc([N+](=O)[O-])c1,GJORNZAMFLOHMQ-UHFFFAOYSA-N,True,,agonist,False,,,,2,True,False,True,False,False,2
Cc1ccc2cc3c(NC(=O)CC(C)C)nn(C)c3nc2c1,NJAIEVMLMDSPCB-UHFFFAOYSA-N,True,,agonist,False,,,,2,True,False,True,False,False,2
Cc1ccc(Nc2ncccc2C(N)=O)cc1,QSBJMVSZUKBBIL-UHFFFAOYSA-N,True,,agonist,False,,,,2,True,False,True,False,False,2
O=C(N/N=C/c1ccco1)c1ccc(C(=O)N/N=C/c2ccco2)o1,VLIVNEKBOTWJJM-BEQMOXJMSA-N,True,,agonist,False,,,,2,True,False,True,False,False,2
COc1ccc(NC(=O)c2ccc(C)cc2)c(OC)c1,AGWCBNJDPXUGEN-UHFFFAOYSA-N,True,,agonist,False,,,,2,True,False,True,False,False,2
CCCc1nn(C)c(C(=O)Nc2cccc3ccccc23)c1Cl,MGWYMWNIFOQFNG-UHFFFAOYSA-N,True,,agonist,False,,,,2,True,False,True,False,False,2
O=c1nc(Nc2ccc(Br)cc2)sc2ccc([N+](=O)[O-])cc12,LHBSPTJKFVAZFI-UHFFFAOYSA-N,True,,agonist,False,,,,2,True,False,True,False,False,2
CN1CCN(CCCNC(=O)c2cc3c(-c4ccc(Cl)cc4)nn(C)c3s2)CC1,BDBKSQZFDAPJNK-UHFFFAOYSA-N,True,,agonist,False,,,,2,True,False,True,False,False,2
Brc1ccc2ncnc(Nc3ccc(N4CCOCC4)cc3)c2c1,RMKXGPDFRHFPOK-UHFFFAOYSA-N,True,,agonist,False,,,,2,True,False,True,False,False,2
CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1,YPELFRMCRYSPKZ-UHFFFAOYSA-N,True,,agonist,False,,,,2,False,False,True,True,False,2
COc1ccccc1NC(=O)c1ccc2c(c1)nnn2C,PNMQAMJBTQULHL-UHFFFAOYSA-N,True,,agonist,False,,,,2,True,False,True,False,False,2
Nc1cccc(Nc2ncnc3ccccc23)c1,VABQVFUQOPCNBG-UHFFFAOYSA-N,True,,agonist,False,,,,2,True,False,True,False,False,2
O=C(Nc1ccccc1)c1cc([N+](=O)[O-])ccc1Cl,DNTSIBUQMRRYIU-UHFFFAOYSA-N,True,,agonist,False,,,,2,False,False,True,True,False,2
Cc1cc(N=Nc2ccccc2C)ccc1N,PFRYFZZSECNQOL-UHFFFAOYSA-N,True,,agonist,False,,,,2,False,False,True,True,False,2
O=C(NC(=S)Nc1ccc(F)c(Cl)c1)C1CC1,NNHBHBHICWBVRN-UHFFFAOYSA-N,True,,agonist,False,,,,2,True,False,True,False,False,2
COc1cccc(C(=O)ON=C(N)c2ccc([N+](=O)[O-])cc2)c1,VJBZAAZOQSCECH-UHFFFAOYSA-N,True,,agonist,False,,,,2,True,False,True,False,False,2
COc1ccccc1NC(=O)c1ccc(C(=O)Nc2ccccc2OC)nc1,WNICLXBTHUYDLG-UHFFFAOYSA-N,True,,agonist,False,,,,2,True,False,True,False,False,2
O=S(=O)(NNc1ncc(C(F)(F)F)cc1Cl)c1ccc(F)cc1F,QMYHGWDJTXAPOF-UHFFFAOYSA-N,True,,agonist,False,,,,2,True,False,True,False,False,2
Cc1cc(C)nc(Nc2ncc(O)n2-c2ccccc2)n1,HGZRZNWWNWCXBT-UHFFFAOYSA-N,True,,agonist,False,,,,2,True,False,True,False,False,2
COc1ccccc1Nc1nc(NCCO)nc(N)c1[N+](=O)[O-],FWHDLLWTESTDBL-UHFFFAOYSA-N,True,,agonist,False,,,,2,True,False,True,False,False,2
O=C(N/N=C/c1ccc(-c2ccccc2[N+](=O)[O-])o1)c1cncc(Br)c1,WZTANKODANEIRR-KEBDBYFISA-N,True,,agonist,False,,,,2,True,False,True,False,False,2
O=C(Nc1cccc(Cl)c1)c1ccc(=O)[nH]n1,QPWCNDVZJNWKKW-UHFFFAOYSA-N,True,,agonist,False,,,,2,True,False,True,False,False,2
