CANONICAL_SMILES,INCHIKEY,pChEMBL mean,pChEMBL std,common_name,appears_in_N_ChEMBL_assays,action_type,dataset,active
CC(C)c1c(O)cc(/C=C/c2ccccc2)cc1O,ZISJNXNHJRQYJO-CMDGGOBGSA-N,7.5649999999999995,0.007071067811865638,TAPINAROF,2,agonist,ChEMBL_curated,True
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl,REHONNLQRWTIFF-UHFFFAOYSA-N,6.89,,POLYCHLORINATED BIPHENYL 126,1,,ChEMBL_curated,True
Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,HGUFODBRKLSHSI-UHFFFAOYSA-N,8.0,,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN",1,,ChEMBL_curated,True
Brc1ccc(-c2nc3c(Br)cccn3n2)cc1,NNHYXGVMDQBFBD-UHFFFAOYSA-N,6.76,,,1,agonist,ChEMBL_curated,True
Clc1ccc(-c2nc3ccc(Br)cn3n2)cc1,ZBAAGPPMCVKTFM-UHFFFAOYSA-N,9.08,,,1,agonist,ChEMBL_curated,True
Brc1ccc2nc(-c3ccccc3Br)nn2c1,XRYLOVUFSCWBPU-UHFFFAOYSA-N,5.61,,,1,agonist,ChEMBL_curated,True
Brc1ccc(-c2nc3cc(Br)ccn3n2)cc1,GLSQJIRQQYNWTM-UHFFFAOYSA-N,6.2,,,1,agonist,ChEMBL_curated,True
CN1C(=O)C(Cc2cn(C)c3ccccc23)=NC1=S,PYSSGFCEJWJHOU-UHFFFAOYSA-N,6.07,,,1,agonist,ChEMBL_curated,True
CCN1C(=O)C(Cc2[nH]nc3ccccc23)=NC1=S,SXYRVMSQJBZCBB-UHFFFAOYSA-N,6.66,,,1,agonist,ChEMBL_curated,True
CCN1C(=O)C(Cc2c[nH]c3ccccc23)=NC1=S,AQSZRYHHFVXZSJ-UHFFFAOYSA-N,5.75,,,1,agonist,ChEMBL_curated,True
CN1C(=O)C(Cc2[nH]nc3ccccc23)=NC1=S,VXUQMGRPWDADNL-UHFFFAOYSA-N,7.31,,,1,agonist,ChEMBL_curated,True
CN1C(=S)NC(=O)C1=Cc1[nH]nc2ccccc12,QFLIXOMVZXEVSS-UHFFFAOYSA-N,5.6,,,1,agonist,ChEMBL_curated,True
Brc1ccc(-c2nc3ccc(Br)cn3n2)cc1,METAKUVFAGUKGU-UHFFFAOYSA-N,10.52,,,1,agonist,ChEMBL_curated,True
Cc1cc(-c2ccc(N3CCOCC3)cc2)nc2ccccc12,XGSZPPXEIDZEMS-UHFFFAOYSA-N,5.33,,,1,agonist,ChEMBL_curated,True
