CANONICAL_SMILES,INCHIKEY,active,common_name,action_type,SMILES,FDA_recommended,pChEMBL mean,pChEMBL std,appears_in_N_ChEMBL_assays,appears_in_N_datasets,dataset_ChEMBL_curated,dataset_FDA,dataset_ncats_adme_aid410,dataset_tox_adme_aid1671199,dataset_veith_2009,inclusion_score
O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,VFMMPHCGEFXGIP-UHFFFAOYSA-N,True,ALPHA-NAPHTHOFLAVONE,unknown,,,7.594166666666666,0.5853896656126246,12.0,2,True,False,True,False,False,14.0
Cc1nc2c(=O)n(C)c(=O)n(Cc3ccco3)c2[nH]1,KGQZGCIVHYLPBH-UHFFFAOYSA-N,True,FURAFYLLINE,unknown,,True,5.324,0.673817482705814,5.0,5,True,True,True,True,True,10.0
CC(C)NC[C@@H](O)COc1cccc2ccccc12,AQHHHDLHHXJYJD-CQSZACIVSA-N,True,DEXPROPRANOLOL,unknown,,,6.385714285714286,0.4140393356054125,7.0,3,True,False,True,True,False,10.0
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,REFJWTPEDVJJIY-UHFFFAOYSA-N,True,QUERCETIN,unknown,,,5.925,0.4603259714593565,4.0,4,True,False,True,True,True,8.0
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,True,CHLORPROMAZINE HYDROCHLORIDE,unknown,,,5.4825,0.3631689230463784,4.0,4,True,False,True,True,True,8.0
Nc1c2c(nc3ccccc13)CCCC2,YLJREFDVOIBQDA-UHFFFAOYSA-N,True,TACRINE,unknown,,,5.966666666666666,0.416333199893226,3.0,4,True,False,True,True,True,7.0
O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,RTIXKCRFFJGDFG-UHFFFAOYSA-N,True,CHRYSIN,unknown,,,7.006666666666667,0.7327573495594115,3.0,4,True,False,True,True,True,7.0
COc1c2occc2c(OC)c2c(=O)cc(C)oc12,HSMPDPBYAYSOBC-UHFFFAOYSA-N,True,KHELLIN,unknown,,,7.536666666666666,0.1517673658377628,3.0,4,True,False,True,True,True,7.0
COC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],OSUCQKNXQBPLDG-UHFFFAOYSA-N,True,NIFEDIPINE,unknown,,,6.715,0.8175369512546005,4.0,3,True,False,True,True,False,7.0
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,IYRMWMYZSQPJKC-UHFFFAOYSA-N,True,KAEMPFEROL,unknown,,,6.619999999999999,0.6788225099390853,2.0,4,True,False,True,True,True,6.0
COc1ccc2cc(CCC(C)=O)ccc2c1,BLXXJMDCKKHMKV-UHFFFAOYSA-N,True,NABUMETONE,unknown,,,5.85,0.7778174593052023,2.0,4,True,False,True,True,True,6.0
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,RGCVKNLCSQQDEP-UHFFFAOYSA-N,True,PERPHENAZINE,unknown,,,5.925,0.8131727983645299,2.0,4,True,False,True,True,True,6.0
CN(C)c1nc(N(C)C)nc(N(C)C)n1,UUVWYPNAQBNQJQ-UHFFFAOYSA-N,True,ALTRETAMINE,unknown,,,5.550000000000001,0.2121320343559644,2.0,4,True,False,True,True,True,6.0
Clc1ccccc1CN1CCc2sccc2C1,PHWBOXQYWZNQIN-UHFFFAOYSA-N,True,TICLOPIDINE,unknown,,,5.6850000000000005,0.8697413408594528,2.0,4,True,False,True,True,True,6.0
NNc1nncc2ccccc12,RPTUSVTUFVMDQK-UHFFFAOYSA-N,True,HYDRALAZINE,unknown,,,5.75,0.3535533905932738,2.0,4,True,False,True,True,True,6.0
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,HXHWSAZORRCQMX-UHFFFAOYSA-N,True,ALBENDAZOLE,unknown,,,6.4,,2.0,4,True,False,True,True,True,6.0
Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,VHOGYURTWQBHIL-UHFFFAOYSA-N,True,LEFLUNOMIDE,unknown,,,6.75,0.636396103067893,2.0,4,True,False,True,True,True,6.0
c1ccc2[nH]c(-c3cscn3)nc2c1,WJCNZQLZVWNLKY-UHFFFAOYSA-N,True,THIABENDAZOLE,unknown,,,6.5,0.5656854249492386,2.0,4,True,False,True,True,True,6.0
COc1c2occc2cc2ccc(=O)oc12,QXKHYNVANLEOEG-UHFFFAOYSA-N,True,METHOXSALEN,unknown,,,7.6,0.2828427124746189,2.0,4,True,False,True,True,True,6.0
CCOc1ccc(NC(C)=O)cc1,CPJSUEIXXCENMM-UHFFFAOYSA-N,True,PHENACETIN,unknown,,True,5.0,,1.0,5,True,True,True,True,True,6.0
Nc1nc2ccc(OC(F)(F)F)cc2s1,FTALBRSUTCGOEG-UHFFFAOYSA-N,True,RILUZOLE,unknown,,,6.35,0.2121320343559644,3.0,3,True,False,True,True,False,6.0
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,VNFPBHJOKIVQEB-UHFFFAOYSA-N,True,CLOTRIMAZOLE,unknown,,,5.366666666666667,0.5507570547286107,3.0,3,True,False,True,True,False,6.0
