CANONICAL_SMILES,INCHIKEY,pChEMBL mean,pChEMBL std,common_name,appears_in_N_ChEMBL_assays,action_type,dataset,active
O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,VFMMPHCGEFXGIP-UHFFFAOYSA-N,7.594166666666666,0.5853896656126246,ALPHA-NAPHTHOFLAVONE,12,,ChEMBL_curated,True
CC(C)NC[C@@H](O)COc1cccc2ccccc12,AQHHHDLHHXJYJD-CQSZACIVSA-N,6.385714285714286,0.41403933560541256,DEXPROPRANOLOL,7,,ChEMBL_curated,True
Cc1nc2c(=O)n(C)c(=O)n(Cc3ccco3)c2[nH]1,KGQZGCIVHYLPBH-UHFFFAOYSA-N,5.324,0.673817482705814,FURAFYLLINE,5,,ChEMBL_curated,True
COC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],OSUCQKNXQBPLDG-UHFFFAOYSA-N,6.715,0.8175369512546005,NIFEDIPINE,4,,ChEMBL_curated,True
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,REFJWTPEDVJJIY-UHFFFAOYSA-N,5.925,0.46032597145935655,QUERCETIN,4,,ChEMBL_curated,True
COc1ccc([C@@H]2CNC(=O)C2)cc1OC1CCCC1,HJORMJIFDVBMOB-LBPRGKRZSA-N,5.3,0.40824829046386285,(-)-ROLIPRAM,4,,ChEMBL_curated,True
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,5.4825,0.3631689230463784,CHLORPROMAZINE HYDROCHLORIDE,4,,ChEMBL_curated,True
COc1cc(CNC(=O)CCCC/C=C\C(C)C)ccc1O,YKPUWZUDDOIDPM-VURMDHGXSA-N,5.7,0.17320508075688731,ZUCAPSAICIN,3,,ChEMBL_curated,True
c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,OQDPVLVUJFGPGQ-UHFFFAOYSA-N,5.466666666666666,0.2516611478423583,PIRIBEDIL,3,,ChEMBL_curated,True
C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,CDMGBJANTYXAIV-UHFFFAOYSA-N,5.766666666666667,0.40414518843273767,SB-203580,3,,ChEMBL_curated,True
Nc1nc2ccc(OC(F)(F)F)cc2s1,FTALBRSUTCGOEG-UHFFFAOYSA-N,6.35,0.21213203435596445,RILUZOLE,3,,ChEMBL_curated,True
Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,LUKBXSAWLPMMSZ-UHFFFAOYSA-N,6.140000000000001,0.5922837157984343,RESVERATROL,3,,ChEMBL_curated,True
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,WIKYUJGCLQQFNW-UHFFFAOYSA-N,5.766666666666667,0.20816659994661338,PROCHLORPERAZINE,3,,ChEMBL_curated,True
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,KZNIFHPLKGYRTM-UHFFFAOYSA-N,6.733333333333333,0.5686240703077328,APIGENIN,3,,ChEMBL_curated,True
O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,RTIXKCRFFJGDFG-UHFFFAOYSA-N,7.006666666666667,0.7327573495594115,CHRYSIN,3,,ChEMBL_curated,True
Nc1c2c(nc3ccccc13)CCCC2,YLJREFDVOIBQDA-UHFFFAOYSA-N,5.966666666666666,0.416333199893226,TACRINE,3,,ChEMBL_curated,True
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,VNFPBHJOKIVQEB-UHFFFAOYSA-N,5.366666666666667,0.5507570547286107,CLOTRIMAZOLE,3,,ChEMBL_curated,True
CN(C)CCOC(c1ccccc1)c1ccccc1,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,5.0,0.264575131106459,DIPHENHYDRAMINE,3,,ChEMBL_curated,True
CCN(CC)C(=S)SSC(=S)N(CC)CC,AUZONCFQVSMFAP-UHFFFAOYSA-N,5.466666666666666,0.30550504633038916,DISULFIRAM,3,,ChEMBL_curated,True
CN(C)CC/C=C1\c2ccccc2COc2ccccc21,ODQWQRRAPPTVAG-GZTJUZNOSA-N,5.0,0.2645751311064587,E-DOXEPIN,3,,ChEMBL_curated,True
N=C(N)N/N=C/c1c(Cl)cccc1Cl,WDZVGELJXXEGPV-YIXHJXPBSA-N,5.3999999999999995,0.30000000000000016,GUANABENZ ACETATE,3,,ChEMBL_curated,True
COc1c2occc2c(OC)c2c(=O)cc(C)oc12,HSMPDPBYAYSOBC-UHFFFAOYSA-N,7.536666666666666,0.15176736583776282,KHELLIN,3,,ChEMBL_curated,True
O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,CZQHHVNHHHRRDU-UHFFFAOYSA-N,6.166666666666667,0.4725815626252606,LY-294002,3,,ChEMBL_curated,True
CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc([S+](C)[O-])cc1,MLKXDPUZXIRXEP-UHFFFAOYSA-N,5.066666666666667,0.2886751345948129,SULINDAC,3,,ChEMBL_curated,True
c1ccc2nc(N3CCNCC3)ccc2c1,XRXDAJYKGWNHTQ-UHFFFAOYSA-N,6.1000000000000005,0.43588989435406705,QUIPAZINE,3,,ChEMBL_curated,True
COc1cc(/C=C/c2ccc(OC)cc2OC)cc(OC)c1,JDBCWSHYEQUBLW-AATRIKPKSA-N,5.546666666666667,0.06350852961085902,,3,,ChEMBL_curated,True
CCCNC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1,JWHAUXFOSRPERK-SFHVURJKSA-N,5.733333333333333,0.152752523165195,,3,,ChEMBL_curated,True
CCCOc1ccccc1-c1nc(=O)c2[nH]nnc2[nH]1,REZGGXNDEMKIQB-UHFFFAOYSA-N,5.366666666666667,0.05773502691896301,ZAPRINAST,3,,ChEMBL_curated,True
COCCCC/C(=N/OCCN)c1ccc(C(F)(F)F)cc1,CJOFXWAVKWHTFT-ZHZULCJRSA-N,7.333333333333333,0.503322295684717,,3,,ChEMBL_curated,True
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,VSJKWCGYPAHWDS-FQEVSTJZSA-N,5.699999999999999,0.14142135623730995,CAMPTOTHECIN,2,,ChEMBL_curated,True
CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,GDLBFKVLRPITMI-UHFFFAOYSA-N,5.6,0.1414213562373093,DIAZOXIDE,2,,ChEMBL_curated,True
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cc(F)cc(-c3cccnc3)c1)CC2,RRJLJKRFFRZRAF-UHFFFAOYSA-N,5.525,1.3788582233137674,,2,,ChEMBL_curated,True
COc1cc(C[C@H](C)N)c(OC)cc1I,BGMZUEKZENQUJY-ZETCQYMHSA-N,5.050000000000001,0.2121320343559638,,2,,ChEMBL_curated,True
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,BTFHLQRNAMSNLC-UHFFFAOYSA-N,6.5,0.4242640687119283,CLORGILINE,2,,ChEMBL_curated,True
Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1,CJXAEXPPLWQRFR-UHFFFAOYSA-N,5.2,0.2828427124746193,CLEMIZOLE,2,,ChEMBL_curated,True
CCN(CC)CCOC(=O)C1(c2ccc([N+](=O)[O-])cc2)CCCC1,NSHMVLOWOAQFTP-UHFFFAOYSA-N,5.45,0.0707106781186545,,2,,ChEMBL_curated,True
O=c1[nH]c2cc(Cl)ccc2o1,TZFWDZFKRBELIQ-UHFFFAOYSA-N,5.85,0.777817459305203,CHLORZOXAZONE,2,,ChEMBL_curated,True
Cc1cc(Oc2cncc(F)c2)cc(C(=O)Nc2ccc(F)cn2)n1,MBSANIMQXDBICP-UHFFFAOYSA-N,6.7,0.0,,2,,ChEMBL_curated,True
COc1c2ccoc2cc2oc(=O)ccc12,BGEBZHIAGXMEMV-UHFFFAOYSA-N,7.135,0.12020815280171303,BERGAPTEN,2,,ChEMBL_curated,True
C=CCc1ccccc1OC[C@H](O)CNC(C)C,PAZJSJFMUHDSTF-CQSZACIVSA-N,5.3,0.2828427124746193,,2,,ChEMBL_curated,True
C[C@@H](COc1ccccc1)N(CCCl)Cc1ccccc1,QZVCTJOXCFMACW-INIZCTEOSA-N,5.0,0.141421356237309,,2,,ChEMBL_curated,True
COc1cc(/C=C/C(=O)c2ccncc2)cc(OC)c1OC,LTMMHRRDZVGAIL-SNAWJCMRSA-N,5.955,0.007071067811865324,,2,,ChEMBL_curated,True
COc1ccc(/C=C/C(=O)c2ccncc2)cc1OC,KNCWYCRHGWGBLW-HWKANZROSA-N,6.92,0.0,,2,,ChEMBL_curated,True
CC(C)N(CCC(=O)c1ccc2ccccc2c1)Cc1ccccc1,JSASWRWALCMOQP-UHFFFAOYSA-N,5.5,0.141421356237309,,2,,ChEMBL_curated,True
O=c1cc(-c2ccccc2)oc2c3c(ccc12)OCC=C3,JLXMVSQXHQXVQK-UHFFFAOYSA-N,7.235,0.007071067811865324,,2,,ChEMBL_curated,True
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,GXDALQBWZGODGZ-UHFFFAOYSA-N,5.1,,ASTEMIZOLE,2,,ChEMBL_curated,True
O=c1[nH]c2ccccc2c2ccccc12,RZFVLEJOHSLEFR-UHFFFAOYSA-N,7.199999999999999,0.8485281374238575,,2,,ChEMBL_curated,True
CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,CURUTKGFNZGFSE-UHFFFAOYSA-N,5.15,0.3535533905932738,DICYCLOMINE,2,,ChEMBL_curated,True
CN1CCN(c2ccc3ccccc3n2)CC1,HOMWNUXPSJQSSU-UHFFFAOYSA-N,5.25,0.3535533905932738,,2,,ChEMBL_curated,True
CN1CCN(c2nc3cc(C(F)(F)F)ccc3n3cccc23)CC1,LXFHSCDLMBZYKY-UHFFFAOYSA-N,7.050000000000001,0.49497474683058373,,2,,ChEMBL_curated,True
CCOc1cc(/C=C/C(=O)c2ccncc2)cc(OC)c1OC,FJWPTBSBOVWCSS-AATRIKPKSA-N,5.85,0.042426406871192264,,2,,ChEMBL_curated,True
CSc1ccc2c(c1)N(CC[C@H]1CCCCN1C)c1ccccc1S2,KLBQZWRITKRQQV-MRXNPFEDSA-N,5.199999999999999,0.1414213562373093,,2,,ChEMBL_curated,True
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,IQPNAANSBPBGFQ-UHFFFAOYSA-N,6.035,0.7990306627407984,LUTEOLIN,2,,ChEMBL_curated,True
CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,XJGVXQDUIWGIRW-UHFFFAOYSA-N,5.0,0.7071067811865476,LOXAPINE SUCCINATE,2,,ChEMBL_curated,True
Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,VHOGYURTWQBHIL-UHFFFAOYSA-N,6.75,0.636396103067893,LEFLUNOMIDE,2,,ChEMBL_curated,True
