CANONICAL_SMILES,INCHIKEY,active,common_name,action_type,SMILES,FDA_recommended,pChEMBL mean,pChEMBL std,appears_in_N_ChEMBL_assays,appears_in_N_datasets,dataset_ChEMBL_curated,dataset_FDA,dataset_aid1024,dataset_aid1919973,dataset_aid883,dataset_flockheart,dataset_ncats_adme_aid1645842,dataset_veith_2009,inclusion_score
Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,QWCJHSGMANYXCW-UHFFFAOYSA-N,True,SULFAPHENAZOLE,inhibitor,,True,6.605555555555556,0.4380385574099362,9.0,5,True,True,False,False,True,True,True,False,14.0
COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,AKNNEGZIBPJZJG-MSOLQXFVSA-N,True,NOSCAPINE HYDROCHLORIDE,inhibitor,,False,5.821111111111112,0.6623904521587788,9.0,4,True,False,False,False,True,False,True,True,13.0
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,REFJWTPEDVJJIY-UHFFFAOYSA-N,True,QUERCETIN,inhibitor,,False,5.208571428571429,0.5759753632297295,7.0,6,True,False,False,True,True,True,True,True,13.0
CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,WHQCHUCQKNIQEC-UHFFFAOYSA-N,True,BENZBROMARONE,inhibitor,,False,7.824,0.2930528962491242,6.0,4,True,False,False,False,True,False,True,True,10.0
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,ZNNLBTZKUZBEKO-UHFFFAOYSA-N,True,GLYBURIDE,inhibitor,,False,5.498333333333334,0.3143511836571747,6.0,4,True,False,False,False,True,False,True,True,10.0
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,VNFPBHJOKIVQEB-UHFFFAOYSA-N,True,CLOTRIMAZOLE,inhibitor,,False,6.611666666666667,0.6711308863900294,6.0,3,True,False,False,False,True,False,True,False,9.0
CC1=C(/C=C\C(C)=C\C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,SHGAZHPCJJPHSC-ZCYUIQHQSA-N,True,,inhibitor,,False,5.2,0.5,7.0,2,True,False,False,False,True,False,False,False,9.0
O=c1c(Cc2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,KSKRYQVHJQRUNC-UHFFFAOYSA-N,True,DICUMAROL,inhibitor,,False,6.731999999999999,0.8423301015635138,5.0,4,True,False,False,False,True,False,True,True,9.0
CN1C(C(=O)Nc2ccccn2)C(=O)c2ccccc2S1(=O)=O,MNSCVRXKDINXEY-UHFFFAOYSA-N,True,PIROXICAM,inhibitor,,False,5.0200000000000005,0.3834057902536163,5.0,4,True,False,False,False,True,False,True,True,9.0
COc1cc(CNC(=O)CCCC/C=C\C(C)C)ccc1O,YKPUWZUDDOIDPM-VURMDHGXSA-N,True,ZUCAPSAICIN,inhibitor,,False,5.942857142857143,0.4157609203101499,7.0,2,True,False,False,False,True,False,False,False,9.0
CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,BGDKAVGWHJFAGW-UHFFFAOYSA-N,True,TROPICAMIDE,inhibitor,,False,5.65,0.4929503017546491,6.0,3,True,False,False,False,True,False,True,False,9.0
CC(C)[C@@]1(NC(=O)C2C[C@H]3c4cccc5[nH]cc(c45)C[C@@H]3N(C)C2)O[C@@]2(O)[C@H]3CCCN3C(=O)C(Cc3ccccc3)N2C1=O,DEQITUUQPICUMR-LBQNKEKUSA-N,True,,inhibitor,,False,5.5,0.2999999999999997,5.0,3,True,False,False,False,True,False,False,True,8.0
S=C(NC1CCCCC1)N1CCC(c2c[nH]cn2)CC1,QKDDJDBFONZGBW-UHFFFAOYSA-N,True,THIOPERAMIDE,inhibitor,,False,6.733333333333333,0.3614784456460255,6.0,2,True,False,False,False,True,False,False,False,8.0
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,JCCNYMKQOSZNPW-UHFFFAOYSA-N,True,LORATADINE,inhibitor,,False,5.666666666666667,1.5011106998930273,4.0,4,True,False,False,False,True,False,True,True,8.0
CCCCCN(CCCCC)C(=O)C(CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,IEKOTSCYBBDIJC-UHFFFAOYSA-N,True,,inhibitor,,False,5.7,0.3464101615137753,4.0,3,True,False,False,False,True,False,True,False,7.0
O=C1N(c2ccccc2)c2ccccc2C1(Cc1ccncc1)Cc1ccncc1,YEJCDKJIEMIWRQ-UHFFFAOYSA-N,True,LINOPIRDINE,inhibitor,,False,5.2,0.1732050807568882,3.0,4,True,False,False,False,True,False,True,True,7.0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,SYTBZMRGLBWNTM-UHFFFAOYSA-N,True,TARENFLURBIL,inhibitor,,False,5.05,0.0577350269189623,4.0,3,True,False,False,False,True,False,False,True,7.0
CCN(CC)C(=S)SSC(=S)N(CC)CC,AUZONCFQVSMFAP-UHFFFAOYSA-N,True,DISULFIRAM,inhibitor,,False,6.0,0.461880215351701,4.0,3,True,False,False,False,True,False,True,False,7.0
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,DCOPUUMXTXDBNB-UHFFFAOYSA-N,True,DICLOFENAC SODIUM,inhibitor,,False,5.449999999999999,0.4041451884327379,4.0,3,True,False,False,False,True,False,True,False,7.0
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,BYBLEWFAAKGYCD-UHFFFAOYSA-N,True,MICONAZOLE,inhibitor,,False,6.566666666666666,0.1154700538379249,3.0,4,True,False,False,False,True,False,True,True,7.0
Cc1cc2c(nc1C)CCCN2C[C@H](O)CN1CCCc2nc(-c3ccc(Br)cc3)ccc21,ZBPBGOGMCJVPTD-JOCHJYFZSA-N,True,,inhibitor,,False,5.5,0.1154700538379247,4.0,3,True,False,False,False,True,False,False,True,7.0
