CANONICAL_SMILES,INCHIKEY,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_CID,dataset,data_type,active,common_name,action_type
COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,IZQSVPBOUDKVDZ-UHFFFAOYSA-N,Active,5281654,aid1919973,assay,True,,inhibitor
CC(=O)c1c(O)c(C)c(O)c2c1OC1=CC(=O)C(C(C)=O)C(=O)[C@]12C,CUCUKLJLRRAKFN-KKIBXBACSA-N,Active,442614,aid1919973,assay,True,,inhibitor
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,REFJWTPEDVJJIY-UHFFFAOYSA-N,Active,5280343,aid1919973,assay,True,,inhibitor
O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1O)c1cc(O)c(O)c(O)c1,RATQVALKDAUZBW-XPMKZLBQSA-N,Active,73178,aid1919973,assay,True,,inhibitor
C=C[C@H]1CN2CCc3c([nH]c4ccccc34)[C@H]2C[C@@H]1/C(=C\OC)C(=O)OC,TZUGIFAYWNNSAO-AZQGJTAVSA-N,Active,3037151,aid1919973,assay,True,,inhibitor
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O,QHMBSVQNZZTUGM-ZWKOTPCHSA-N,Active,644019,aid1919973,assay,True,,inhibitor
O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,QJYNZEYHSMRWBK-NIKIMHBISA-N,Active,65238,aid1919973,assay,True,,inhibitor
O=c1ccc2ccc(O)cc2o1,ORHBXUUXSCNDEV-UHFFFAOYSA-N,Active,5281426,aid1919973,assay,True,,inhibitor
CCCCC/C=C/C/C=C/CCCCCCCC(=O)O,OYHQOLUKZRVURQ-AVQMFFATSA-N,Active,5282457,aid1919973,assay,True,,inhibitor
OCc1cc(O)c2c(O)c3c(O)cccc3c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c2c1,UBCKYWKJKPMKAA-RDZBXBSQSA-N,Active,14989,aid1919973,assay,True,,inhibitor
Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,RHMXXJGYXNZAPX-UHFFFAOYSA-N,Active,3220,aid1919973,assay,True,,inhibitor
COc1cc2c(cc1O)CC1c3c(cc(O)c(OC)c3-2)CCN1C,LZJRNLRASBVRRX-UHFFFAOYSA-N,Active,248507,aid1919973,assay,True,,inhibitor
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O[C@@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]3O)cc(O)c12,PEFNSGRTCBGNAN-OUJGAGHGSA-N,Active,6604603,aid1919973,assay,True,,inhibitor
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,DTOSIQBPPRVQHS-PDBXOOCHSA-N,Active,5280934,aid1919973,assay,True,,inhibitor
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,IQPNAANSBPBGFQ-UHFFFAOYSA-N,Active,5280445,aid1919973,assay,True,,inhibitor
O=c1cc(-c2ccc(O)cc2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3OC[C@](O)(CO)[C@H]3O)cc(O)c12,NTDLXWMIWOECHG-YRCFQSNFSA-N,Active,5280746,aid1919973,assay,True,,inhibitor
CC(=O)O[C@@H]1C[C@@H](C)[C@](O)(CCC2=CC(=O)OC2)[C@@]2(C)CCCC(C)(C)C12,FBWWXAGANVJTLU-BKFIFAIMSA-N,Active,23757190,aid1919973,assay,True,,inhibitor
O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,WMBWREPUVVBILR-NQIIRXRSSA-N,Active,199472,aid1919973,assay,True,,inhibitor
O=c1c(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,OVSQVDMCBVZWGM-DTGCRPNFSA-N,Active,5281643,aid1919973,assay,True,,inhibitor
Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,LUKBXSAWLPMMSZ-UHFFFAOYSA-N,Active,445154,aid1919973,assay,True,,inhibitor
CCCCCCCCC=CCC(=O)CCc1ccc(O)c(OC)c1,OTVKQJMSEKQVPA-UHFFFAOYSA-N,Active,6442612,aid1919973,assay,True,,inhibitor
O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1,LSHVYAFMTMFKBA-TZIWHRDSSA-N,Active,107905,aid1919973,assay,True,,inhibitor
C=C1CC[C@H](O)C/C1=C\C=C1/CCC[C@]2(C)[C@@H]([C@H](C)CC[C@H](C)C(C)C)CC[C@@H]12,DIPPFEXMRDPFBK-QBVKKQECSA-N,Active,12444896,aid1919973,assay,True,,inhibitor
CC(=O)O[C@@H]1CC[C@]2(C)C3C(=O)C=C4C5[C@@H](C)[C@H](C)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@H]2[C@@]1(C)C(=O)O,HMMGKOVEOFBCAU-BTWDOXABSA-N,Active,11168203,aid1919973,assay,True,,inhibitor
