CANONICAL_SMILES,INCHIKEY,pChEMBL mean,pChEMBL std,common_name,appears_in_N_ChEMBL_assays,action_type,dataset,active
Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,QWCJHSGMANYXCW-UHFFFAOYSA-N,6.605555555555556,0.43803855740993625,SULFAPHENAZOLE,9,,ChEMBL_curated,True
COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,AKNNEGZIBPJZJG-MSOLQXFVSA-N,5.821111111111112,0.6623904521587788,NOSCAPINE HYDROCHLORIDE,9,,ChEMBL_curated,True
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,REFJWTPEDVJJIY-UHFFFAOYSA-N,5.208571428571429,0.5759753632297295,QUERCETIN,7,,ChEMBL_curated,True
COc1cc(CNC(=O)CCCC/C=C\C(C)C)ccc1O,YKPUWZUDDOIDPM-VURMDHGXSA-N,5.942857142857143,0.4157609203101499,ZUCAPSAICIN,7,,ChEMBL_curated,True
CC1=C(/C=C\C(C)=C\C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,SHGAZHPCJJPHSC-ZCYUIQHQSA-N,5.2,0.5,,7,,ChEMBL_curated,True
S=C(NC1CCCCC1)N1CCC(c2c[nH]cn2)CC1,QKDDJDBFONZGBW-UHFFFAOYSA-N,6.733333333333333,0.3614784456460255,THIOPERAMIDE,6,,ChEMBL_curated,True
CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,WHQCHUCQKNIQEC-UHFFFAOYSA-N,7.824,0.29305289624912423,BENZBROMARONE,6,,ChEMBL_curated,True
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,ZNNLBTZKUZBEKO-UHFFFAOYSA-N,5.498333333333334,0.31435118365717474,GLYBURIDE,6,,ChEMBL_curated,True
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,VNFPBHJOKIVQEB-UHFFFAOYSA-N,6.611666666666667,0.6711308863900294,CLOTRIMAZOLE,6,,ChEMBL_curated,True
CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,BGDKAVGWHJFAGW-UHFFFAOYSA-N,5.6499999999999995,0.4929503017546491,TROPICAMIDE,6,,ChEMBL_curated,True
