SMILES,CYP2C9 Substrate Class,CYP2D6 Substrate Class,CYP3A4 Substrate Class,CYP2C9 Activity Class,CYP2D6 Activity Class,CYP3A4 Activity Class,CYP2C9 Inhibitor Class,CYP2D6 Inhibitor Class,CYP3A4_ Inhibitor Class
CC(C)(C)C1=C(O)C=CC(O)=C1,0,0,0,0,0,1,0,0,1
OC(=O)C\C(=C/C(O)=O)C(O)=O,,0,,0,0,0,NA,0,NA
CC(C)=CCC\C(C)=C\CO,0,1,0,0,0,0,0,0,0
CC1=CC(N)=C2C=C(NC(=O)NC3=CC4=C(C=C3)N=C(C)C=C4N)C=CC2=N1,0,0,,0,1,0,0,1,NA
CC1=C(O)C(CN)=C(CO)C=N1,0,0,0,0,0,0,0,0,0
N[S+]([O-])(=O)C1=CC=C(C=C1)C(O)=O,0,0,1,,,,NA,NA,NA
OC(CCN1CCCCC1)(C2=CC=CC=C2)C3=CC=CC=C3,0,1,0,0,1,0,0,subs/inhib,0
OC1=C(SC2=C(O)C=CC(Cl)=C2)C=C(Cl)C=C1,1,0,0,0,0,1,0,0,1
CN(C)CC\C=C1/C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2,1,1,1,0,1,0,0,subs/inhib,0
OP(O)(=O)OP(O)(O)=O,1,,1,0,0,0,0,NA,0
CN(C)CCC=C1C2=C(C=CC=C2)C=CC3=C1C=CC=C3,0,1,0,0,1,0,0,subs/inhib,0
CCC1=C(C(=O)C2=CC(Br)=C(O)C(Br)=C2)C3=C(O1)C=CC=C3,1,0,0,1,0,1,subs/inhib,0,1
OC(=O)[C@@H]1CCCN1,0,0,0,0,0,0,0,0,0
OC(=O)CP(O)(O)=O,0,1,,0,0,0,0,0,NA
CNCCC=C1C2=C(CCC3=C1C=CC=C3)C=CC=C2,0,1,0,0,1,0,0,subs/inhib,0
ClC1=CC=C2N(C3CCN(CCCN4C(=O)NC5=C4C=CC=C5)CC3)C(=O)NC2=C1,0,0,1,0,1,0,0,1,0
ClC1=C(C=CC=C1)C2=NC(=NO2)C3=CC=NC=C3,0,1,1,1,1,0,1,subs/inhib,0
CC1=C(C)C(NC2=NC(SCC(O)=O)=NC(Cl)=C2)=CC=C1,1,0,0,0,0,0,0,0,0
OC(=O)CCC1=NC(=C(O1)C2=CC=CC=C2)C3=CC=CC=C3,0,0,1,0,0,0,0,0,0
CC[C@@]1(O)C(=O)OCC2=C1C=C3N(CC4=C3N=C5C=CC(O)=C(CN(C)C)C5=C4)C2=O,,,0,0,0,0,NA,NA,0
NC(=O)C1=C(N)N(CC2=CC(Cl)=C(C(=O)C3=CC=C(Cl)C=C3)C(Cl)=C2)N=N1,0,0,1,0,0,1,0,0,subs/inhib
OC(=O)CCCCCCCC(O)=O,0,0,,0,0,1,0,0,NA
ClC1=CC2=C(OC3=C(C=CC=C3)N=C2N4CCNCC4)C=C1,0,1,0,0,1,1,0,subs/inhib,1
CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,0,0,0,,,,NA,NA,NA
CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,0,0,0,0,0,0,0,0,0
NC12CC3CC(CC(C3)C1)C2,0,0,0,0,0,0,0,0,0
CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCC(O)=O,1,1,1,0,0,0,0,0,0
OC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(O)C=C3O,0,0,0,0,0,1,0,0,1
CC1=C(C)C(=O)C(CCCCC#CCCCC#CCO)=C(C)C1=O,1,0,1,1,1,1,subs/inhib,1,subs/inhib
NC1=C2CCCCC2=NC3=CC=CC=C13,0,1,0,0,1,0,0,subs/inhib,0
CN1C=NC(=C1SC2=NC=NC3=C2N=CN3)[N+]([O-])=O,0,0,1,0,0,0,0,0,0
NC1=NC2=C(N=CN2COCCO)C(=O)N1,0,0,0,0,0,0,0,0,0
CC(=O)OC1=C(C=CC=C1)C(O)=O,1,,,0,0,1,0,NA,NA
CCN(CC)CCNC(=O)C1=CC=C(NC(C)=O)C=C1,0,0,0,0,0,0,0,0,0
CC(=O)NC1=NN=C(S1)S(N)(=O)=O,0,0,0,0,0,0,0,0,0
COC(=O)C1=CCCN(C)C1,0,0,,0,0,0,0,0,NA
C[N+]1(C)C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,0,,,,,,NA,NA,NA
CCNC(=O)N1CCN(CCCC(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3)CC1,1,1,1,0,1,0,0,subs/inhib,0
NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N,0,0,0,0,0,0,0,0,0
NCCCCCC(O)=O,,0,0,0,0,1,NA,0,1
CN(C)CCC=C1C2=C(CCC3=C1C=CC=C3)C=CC=C2,0,1,0,0,1,0,0,subs/inhib,0
CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C3=C(O1)C=CC=C3,1,0,1,1,0,0,subs/inhib,0,0
CC(C)NCC(O)COC1=C(CC=C)C=CC=C1,0,1,0,0,1,0,0,subs/inhib,0
CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,0,0,0,0,0,0,0,0,0
CCC1(CCC(=O)NC1=O)C2=CC=C(N)C=C2,0,0,0,0,0,0,0,0,0
COC1=CC=C(C=C1)C(=O)N2CCCC2=O,0,0,0,0,0,0,0,0,0
CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2,0,,0,0,1,0,0,NA,0
CC(NC(C)(C)C)C(=O)C1=CC=CC(Cl)=C1,0,0,0,0,0,0,0,0,0
CCN1CCC2=C(CC1)N=C(N)O2,0,0,,0,0,0,0,0,NA
CN(C)CCC(C1=CC=C(Br)C=C1)C2=CC=CC=N2,0,1,0,,,,NA,NA,NA
N\C(NCC1=CC=CC=C1)=N/C(=O)C2=NC(Cl)=C(N)N=C2N,0,0,0,0,1,0,0,1,0
CCCCNC1=CC(=CC(=C1OC2=CC=CC=C2)S(N)(=O)=O)C(O)=O,0,0,0,0,0,0,0,0,0
CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,1,1,1,0,1,1,0,subs/inhib,subs/inhib
CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,0,1,0,0,0,0,0,0,0
O=C1CC2(CCCC2)CC(=O)N1CCCCN3CCN(CC3)C4=NC=CC=N4,0,1,1,0,0,0,0,0,0
NC(CO)C(=O)NNCC1=C(O)C(O)=C(O)C=C1,,0,,0,0,0,NA,0,NA
CN1C(C2=CC=C(Cl)C=C2)S(=O)(=O)CCC1=O,0,0,0,0,0,0,0,0,0
C(OC1=C(C=CC=C1)C2CC2)C3=NCCN3,0,1,0,0,1,0,0,subs/inhib,0
OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,1,1,1,0,0,0,0,0,0
CC(C)(OC1=CC=C(C=C1)C2CC2(Cl)Cl)C(O)=O,0,0,0,0,0,0,0,0,0
O=C1CCC2=C(N1)C=CC(OCCCCC3=NN=NN3C4CCCCC4)=C2,0,0,0,1,0,0,1,0,0
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0,0,0,0,0,0,0,0,0
ClCCN(CCCl)P1(=O)NCCCO1,0,0,0,0,0,0,0,0,0
CCCNC(=O)N[S+]([O-])(=O)C1=CC=C(Cl)C=C1,0,0,0,,,,NA,NA,NA
CN(C)CC[C@@H](C1=CC=C(Cl)C=C1)C2=NC=CC=C2,0,1,0,0,0,0,0,0,0
CN(C)CCC(C1=CC=C(Cl)C=C1)C2=CC=CC=N2,0,1,0,,,,NA,NA,NA
NC(=O)N1C2=C(C=CC=C2)C=CC3=C1C=CC=C3,0,0,0,0,0,0,0,0,0
CCC1=CC(=CC=C1)N(C)C(=N)NC2=C3C=CC=CC3=CC=C2,0,1,0,0,1,0,0,subs/inhib,0
ClC1=CC2=C(OC(=O)N2)C=C1,0,0,0,0,0,0,0,0,0
NS(=O)(=O)C1=C(Cl)C=C2N=CNS(=O)(=O)C2=C1,0,0,0,0,0,0,0,0,0
ClC1=CC=C(CN2C(CN3CCCC3)=NC4=C2C=CC=C4)C=C1,1,1,1,0,1,1,0,subs/inhib,subs/inhib
ClC1=CC=CC(=C1)N2CCNCC2,0,1,1,0,1,0,0,subs/inhib,0
CN1CCC(CC1)=C2C3=C(C=CC=C3)C=CC4=C2C=CC=C4,0,1,0,0,1,0,0,subs/inhib,0
CN1CCN(CC1)C2=NC3=C(NC4=C2C=CC=C4)C=CC(Cl)=C3,1,1,0,0,0,0,0,0,0
CCN(CC)CCCC(C)NC1=CC=NC2=C1C=CC(Cl)=C2,0,1,0,0,0,0,0,0,0
CN(C)CCCN1C2=C(CCC3=C1C=C(Cl)C=C3)C=CC=C2,0,1,1,0,1,0,0,subs/inhib,0
CN(C1CCCCC1)C(=O)CCCOC2=CC3=C(NC(=O)C=C3)C=C2,0,0,1,0,0,1,0,0,subs/inhib
CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2,0,1,1,0,1,0,0,subs/inhib,0
CCN1N=C(C(O)=O)C(=O)C2=C1C=C3OCOC3=C2,0,0,0,0,0,0,0,0,0
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,0,0,0,0,0,0,0,0,0
CN(C)CCOC(=O)COC1=CC=C(Cl)C=C1,1,,1,0,0,0,0,NA,0
NS(=O)(=O)C1=C(Cl)C=C2NC(NS(=O)(=O)C2=C1)C3CC4CC3C=C4,1,0,0,0,0,0,0,0,0
FC1=CC=C(C=C1)C(OCCN2CCN(CCCC3=CC=CC=C3)CC2)C4=CC=C(F)C=C4,1,1,1,1,1,0,subs/inhib,subs/inhib,0
CC(CCC1=CC=C(O)C=C1)NCCC2=CC(O)=C(O)C=C2,1,1,1,0,0,1,0,0,subs/inhib
CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,0,1,0,0,1,0,0,subs/inhib,0
CNCCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2,0,1,0,0,1,0,0,subs/inhib,0
OC1=NC(=O)C(N1)(C2=CC=CC=C2)C3=CC=CC=C3,0,0,0,0,0,0,0,0,0
OC1=C(O)C2=C(C=CC(=O)O2)C=C1,0,,1,0,0,0,0,NA,0
CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C2=NC=CC=C2)C(C)C,0,0,0,0,0,0,0,0,0
OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CCN(CC(O)=O)CC(O)=O,0,0,0,0,0,0,0,0,0
CCCCCCCCCCCCCCC[C@H](O)[C@@H](N)CO,0,1,0,0,1,0,0,subs/inhib,0
OC1=CC=C(C=C1)C2=COC3=C(C=CC(O)=C3)C2=O,0,0,0,1,0,0,1,0,0
CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2,1,1,1,1,1,1,subs/inhib,subs/inhib,subs/inhib
NC(CC1=CC(O)=C(O)C=C1)C(O)=O,1,,,0,0,1,0,NA,NA
OCCN(CCO)C1=NC2=C(N=C(N=C2C(=N1)N3CCCCC3)N(CCO)CCO)N4CCCCC4,0,0,1,1,1,1,1,1,subs/inhib
NC1=NC(N)=NC(O)=C1,0,,,0,0,0,0,NA,NA
CCN(CC)C(=O)C1=CC(OC)=C(O)C=C1,0,0,0,0,0,0,0,0,0
CCC1=CC=CC2=C1NC3=C2CCOC3(CC)CC(O)=O,0,0,0,0,0,0,0,0,0
CSC1=CC=C(C=C1)C(=O)C2=C(C)NC(=O)N2,0,0,0,0,0,0,0,0,0
CCOC(=O)C1=CN=C2N(CC)N=CC2=C1NN=C(C)C,1,0,0,0,0,0,0,0,0
CN[C@@H](C)[C@H](O)C1=CC=CC=C1,1,0,0,0,0,0,0,0,0
CCC1(CC2=C(O1)C=CC=C2)C3=NCCN3,0,1,0,0,0,0,0,0,0
CCC1(C)CC(=O)NC1=O,1,,0,0,0,0,0,NA,0
FC1=CC=C(C=C1)C(CCCN2CCC3(CC2)N(CNC3=O)C4=CC=CC=C4)C5=CC=C(F)C=C5,0,1,1,0,1,0,0,subs/inhib,0
CN1C(=O)N(CC2=CC=CO2)C3=C(NC(C)=N3)C1=O,0,0,0,0,0,0,0,0,0
CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C2=CC=CC=C2,0,1,0,0,1,1,0,subs/inhib,1
NC(=O)OCC(COC(N)=O)C1=CC=CC=C1,1,,1,0,0,0,0,NA,0
CC(CC1=CC=C(O)C=C1)NCC(O)C2=CC(O)=CC(O)=C2,0,1,0,0,0,0,0,0,0
OCCN1CCN(CCCN2C3=CC(=CC=C3SC4=C2C=CC=C4)C(F)(F)F)CC1,1,1,1,0,1,1,0,subs/inhib,subs/inhib
CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(Cl)C=C2,1,1,1,1,0,0,subs/inhib,0,0
O=C1NCC2(CCN(CCC3=CC=CC=C3)CC2)O1,0,0,0,0,0,0,0,0,0
CCOC(=O)C1=C2CN(C)C(=O)C3=C(C=CC(F)=C3)N2C=N1,0,0,0,0,0,0,0,0,0
CCCCC1=CC=C(N=C1)C(O)=O,0,0,0,0,0,0,0,0,0
FC1=CNC(=O)NC1=O,,0,0,0,0,0,NA,0,0
FC(F)(F)COC1=CC=C(OCC(F)(F)F)C(=C1)C(=O)NCC2CCCCN2,0,1,0,0,1,0,0,subs/inhib,0
OC1=CC=C(C=C1)C2CNCCC3=C(Cl)C(O)=C(O)C=C23,0,,0,0,0,0,0,NA,0
CCOC(=O)NC1=CC=C(NCC2=CC=C(F)C=C2)N=C1N,0,0,0,0,1,1,0,1,1
CC(C)C(=O)NC1=CC=C(C(=C1)C(F)(F)F)[N+]([O-])=O,0,,1,0,0,0,0,NA,0
CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN2CCC(CC2)C(O)(C3=CC=CC=C3)C4=CC=CC=C4,0,0,0,0,0,0,0,0,0
CCOC(=O)C1=C(C)NC(C)=C(C1C2=C(Cl)C(Cl)=CC=C2)C(=O)OC,1,0,,1,0,1,subs/inhib,0,NA
CC1=NC=C(N=C1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,0,0,0,0,0,0,0,0,0
CC1=NN=C(C2=CC=C(N)C=C2)C3=CC4=C(OCO4)C=C3C1,0,0,0,1,0,1,1,0,1
NCC1(CC(O)=O)CCCCC1,0,0,1,0,0,0,0,0,0
COC1=C(C=C(Cl)C=C1)C(=O)NCCC2=CC=C(C=C2)[S+]([O-])(=O)NC(=O)NC3CCCCC3,1,0,1,1,0,1,subs/inhib,0,subs/inhib
NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl,0,0,0,0,0,0,0,0,0
NC1=NC2=C(N=CN2COC(CO)CO)C(=O)N1,0,0,0,0,0,0,0,0,0
OC1=CC=C(C=C1)C2=COC3=C(C(O)=CC(O)=C3)C2=O,0,0,0,0,0,0,0,0,0
CC[N+](CC)(CC)CCOC1=CC=CC(OCC[N+](CC)(CC)CC)=C1OCC[N+](CC)(CC)CC,,0,,0,0,0,NA,0,NA
OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C3=CC=C(Cl)C=C3,0,0,1,0,1,0,0,1,0
NC1=C2C(O)CCCC2=NC3=CC=CC=C13,0,0,0,0,0,0,0,0,0
NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1,,,0,0,0,0,NA,NA,0
NCCC1=CNC=N1,1,,1,0,0,0,0,NA,0
OC1=CC=C(O)C=C1,0,0,0,0,0,1,0,0,1
CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,0,,0,0,0,0,0,NA,0
CC(C)C(=O)C1=C2C=CC=CN2N=C1C(C)C,1,0,0,0,0,0,0,0,0
CC(C)NCC(O)C1=CC(O)=C(O)C=C1,1,1,,0,0,1,0,0,NA
C1CN=C(N1)C2COC3=C(O2)C=CC=C3,0,1,0,0,0,0,0,0,0
COC1=CC2=C(C=C1)N(C(=O)C3=CC=C(Cl)C=C3)C(C)=C2CC(O)=O,0,0,1,0,0,0,0,0,0
CN(C)CCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2,0,1,0,0,1,0,0,subs/inhib,0
CC(C)NNC(=O)C1=CC=NC=C1,0,0,1,0,0,0,0,0,0
CCN1C=CN=C1CC2COC3=C(O2)C=CC=C3,0,1,0,0,1,0,0,subs/inhib,0
CC(C(O)=O)C1=CC=CC(=C1)C(=O)C2=CC=CC=C2,0,0,0,0,0,1,0,0,1
CN1CCC(CC1)=C2C3=C(SC=C3)C(=O)CC4=C2C=CC=C4,0,0,0,0,1,0,0,1,0
O=C1N(C2=C(C=CC=C2)C1(CC3=CC=NC=C3)CC4=CC=NC=C4)C5=CC=CC=C5,,0,1,1,0,1,NA,0,subs/inhib
CCN1C=C(C(O)=O)C(=O)C2=C1C(F)=C(N3CCNC(C)C3)C(F)=C2,0,0,0,0,0,0,0,0,0
NC1=NC(N)=C(N=N1)C2=CC=CC(Cl)=C2Cl,0,0,0,0,0,0,0,0,0
CN(C)C(=O)C(CCN1CCC(O)(CC1)C2=CC=C(Cl)C=C2)(C3=CC=CC=C3)C4=CC=CC=C4,0,0,1,0,1,0,0,1,0
OC(=O)C1=NN(CC2=C(Cl)C=C(Cl)C=C2)C3=C1C=CC=C3,0,0,0,0,0,0,0,0,0
CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,0,0,0,0,0,1,0,0,1
CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,0,1,0,0,0,0,0,0,0
CC1=C(C[S+]([O-])C2=NC3=C(N2)C=CC=C3)N=CC=C1OCC(F)(F)F,0,,0,0,1,1,0,NA,1
CCOC(=O)N1CCC(CC1)=C2C3=CC=C(Cl)C=C3CCC4=C2N=CC=C4,0,1,1,1,1,0,1,subs/inhib,0
CCCN(CCC)C(=O)C(CCC(O)=O)NC(=O)C1=CC=CC=C1,0,0,0,0,0,0,0,0,0
CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC,0,1,1,0,0,0,0,0,0
COC(=O)NC1=NC2=C(N1)C=CC(=C2)C(=O)C3=CC=CS3,0,0,0,0,0,0,0,0,0
COC1=C(NC2=NCCN2)C(Cl)=NC(C)=N1,0,1,0,0,0,0,0,0,0
CC(C)NCC(O)C1=CC(O)=CC(O)=C1,0,0,0,0,0,0,0,0,0
CN1CCN2C(C1)C3=C(CC4=C2C=CC=C4)C=CC=C3,1,1,1,0,1,0,0,subs/inhib,0
CC(N)COC1=C(C)C=CC=C1C,0,1,0,0,0,0,0,0,0
CCOC(=O)[N-]C1=C[N+](=NO1)N2CCOCC2,0,0,0,0,0,0,0,0,0
CN(CCCOC1=C(Cl)C=C(Cl)C=C1)CC#C,1,1,1,0,1,0,0,subs/inhib,0
OC1=CC(O)=C(C=C1)C2=C(O)C(=O)C3=C(O2)C=C(O)C=C3O,0,0,0,0,0,0,0,0,0
NC1=NC(=CC(N)=[N+]1[O-])N2CCCCC2,0,0,0,0,1,0,0,1,0
CC(C)C1=CC(OC(C)=O)=C(C)C=C1OCCN(C)C,1,1,1,0,1,0,0,subs/inhib,0
COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,0,0,0,0,0,0,0,0,0
