PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,103163813,4583,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,Active,,,Potential missing data,Inhibition,,,%,Active
2,103163840,3715,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,Active,,,Potential missing data,Inhibition,,,%,Active
3,103163904,2764,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,Active,,,Potential missing data,Inhibition,,,%,Active
4,103164240,3696,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,Active,,,Potential missing data,Inhibition,,,%,Active
5,103164301,5591,CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C,Active,,,Potential missing data,Inhibition,,,%,Active
6,103164490,448537,CC/C(=C(/CC)\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)O,Active,,,Potential missing data,Inhibition,,,%,Active
7,103164508,4032,CC1(C2CCC(C2)C1(C)NC)C,Active,,,Potential missing data,Inhibition,,,%,Active
8,103164546,1775,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,Active,,,Potential missing data,Inhibition,,,%,Active
9,103164817,5578,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,Active,,,Potential missing data,Inhibition,,,%,Active
10,103164821,5339,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,Active,,,Potential missing data,Inhibition,,,%,Active
11,103164854,323,C1=CC=C2C(=C1)C=CC(=O)O2,Active,,,Potential missing data,Inhibition,,,%,Active
12,103164872,39186,CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC,Active,,,Potential missing data,Inhibition,,,%,Active
13,103164874,2244,CC(=O)OC1=CC=CC=C1C(=O)O,Active,,,Potential missing data,Inhibition,,,%,Active
14,103164922,5355,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,Active,,,Potential missing data,Inhibition,,,%,Active
15,103164951,4946,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,Active,,,Potential missing data,Inhibition,,,%,Active
16,103165167,2756,CC1=C(N=CN1)CSCCNC(=NC)NC#N,Active,,,Potential missing data,Inhibition,,,%,Active
17,103165317,3869,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O,Active,,,Potential missing data,Inhibition,,,%,Active
18,103165562,3440,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,Inconclusive,,,Potential missing data,Inhibition,,,%,Not Determined
19,103165713,444795,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,Unspecified,,,,Ratio IC50,=,2,,
20,103165722,4763,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,Active,,,Potential missing data,Inhibition,,,%,Active
21,103165728,3386,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,Active,,,Potential missing data,Inhibition,,,%,Active
22,103165765,135398737,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,Unspecified,,,,Ratio IC50,=,2,,
23,103166066,2179,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,Active,,,Potential missing data,Inhibition,,,%,Active
24,103166276,38409,C1=CSC(=C1)C(=O)C2=C(C(=C(C=C2)OCC(=O)O)Cl)Cl,Active,,,Potential missing data,Inhibition,,,%,Active
25,103166970,2477,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,Inconclusive,,,Potential missing data,Inhibition,,,%,Not Determined
26,103167089,38853,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N,Active,,,Potential missing data,Inhibition,,,%,Active
27,103167682,4463,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,Active,,,Potential missing data,Inhibition,,,%,Active
28,103168230,3767,C1=CN=CC=C1C(=O)NN,Unspecified,,,,Ratio IC50,>,5,,
29,103168744,5253,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,Active,,,Potential missing data,Inhibition,,,%,Active
30,103168841,71329,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,Active,,,Potential missing data,Inhibition,,,%,Active
31,103168962,135398738,CN(C)/N=N/C1=C(NC=N1)C(=O)N,Active,,,Potential missing data,Inhibition,,,%,Active
32,103169185,5288826,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O,Inconclusive,,,Potential missing data,Inhibition,,,%,Not Determined
33,103169389,2726,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,Unspecified,,,,Ratio IC50,=,2,,
34,103169732,2719,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,Active,,,Potential missing data,Inhibition,,,%,Active
35,103170049,5035,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O,Active,,,Potential missing data,Inhibition,,,%,Active
36,103170100,2733526,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3,Unspecified,,,,Ratio IC50,=,2,,
37,103171219,5280723,CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O,Active,,,Potential missing data,Inhibition,,,%,Active
38,103171472,2907,C1CNP(=O)(OC1)N(CCCl)CCCl,Active,,,Potential missing data,Inhibition,,,%,Active
39,103171565,2727,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,Active,,,Potential missing data,Inhibition,,,%,Active
40,103171825,3637,C1=CC=C2C(=C1)C=NN=C2NN,Active,,,Potential missing data,Inhibition,,,%,Active
41,103171902,5280965,C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O,Active,,,Potential missing data,Inhibition,,,%,Active
42,103172204,60490,CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O,Active,,,Potential missing data,Inhibition,,,%,Active
43,103172304,1935,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,Active,,,Potential missing data,Inhibition,,,%,Active
44,103172342,3152,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,Inconclusive,,,Potential missing data,Inhibition,,,%,Not Determined
45,103172458,53232,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,Active,,,Potential missing data,Inhibition,,,%,Active
46,103173542,4992,CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2,Unspecified,,,,Ratio IC50,=,2,,
47,103173718,2578,C(CCl)NC(=O)N(CCCl)N=O,Active,,,Potential missing data,Inhibition,,,%,Active
48,103174500,3672,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,Active,,,Potential missing data,Inhibition,,,%,Active
49,103174787,54676228,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,Active,,,Potential missing data,Inhibition,,,%,Active
50,103175225,4781,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,Active,,,Potential missing data,Inhibition,,,%,Active
51,103175236,447043,CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,Active,,,Potential missing data,Inhibition,,,%,Active
52,103175312,12560,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,Active,,,Potential missing data,Inhibition,,,%,Active
53,103175608,5994,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,Active,,,Potential missing data,Inhibition,,,%,Active
54,103176241,2812,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,Unspecified,,,,Ratio IC50,<,2,,
55,103176321,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,Potential missing data,Inhibition,,,%,Active
56,103176475,3365,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,Active,,,Potential missing data,Inhibition,,,%,Active
57,103177124,6167,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,Active,,,Potential missing data,Inhibition,,,%,Active
58,103177753,2554,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,Active,,,Potential missing data,Inhibition,,,%,Active
59,103177883,3121,CCCC(CCC)C(=O)O,Active,,,Potential missing data,Inhibition,,,%,Active
60,103178942,2796,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,Active,,,Potential missing data,Inhibition,,,%,Active
61,103178971,1983,CC(=O)NC1=CC=C(C=C1)O,Active,,,Potential missing data,Inhibition,,,%,Active
62,103178995,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Active,,,Potential missing data,Inhibition,,,%,Active
63,103179013,1548887,CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O,Active,,,Potential missing data,Inhibition,,,%,Active
64,103179088,6604200,C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-],Active,,,Potential missing data,Inhibition,,,%,Active
65,103179145,938,C1=CC(=CN=C1)C(=O)O,Active,,,Potential missing data,Inhibition,,,%,Active
66,103181943,4829,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,Inconclusive,,,Potential missing data,Inhibition,,,%,Not Determined
67,103183576,5717,CC1=CC=CC=C1S(=O)(=O)NC(=O)C2=CC(=C(C=C2)CC3=CN(C4=C3C=C(C=C4)NC(=O)OC5CCCC5)C)OC,Active,,,Potential missing data,Inhibition,,,%,Active
68,103184537,4058,CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2,Inconclusive,,,Potential missing data,Inhibition,,,%,Not Determined
69,103184980,5733,CC1=C(N(C(=C1)CC(=O)O)C)C(=O)C2=CC=C(C=C2)Cl,Inconclusive,,,Potential missing data,Inhibition,,,%,Not Determined
70,103185057,5401,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4CCCO4)N)OC,Active,,,Potential missing data,Inhibition,,,%,Active
71,103185469,1046,C1=CN=C(C=N1)C(=O)N,Active,,,Potential missing data,Inhibition,,,%,Active
72,103188146,441130,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)C(=O)N(C)C)C(=O)O)[C@@H](C)O,Inconclusive,,,Potential missing data,Inhibition,,,%,Not Determined
73,103188221,4449,CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl,Inconclusive,,,Potential missing data,Inhibition,,,%,Not Determined
74,103188531,3634,CCN(CC)CCNC1=C2C(=C(C=C1)CO)SC3=CC=CC=C3C2=O,Active,,,Potential missing data,Inhibition,,,%,Active
75,103188772,2160,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,Active,,,Potential missing data,Inhibition,,,%,Active
76,103188875,2157,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,Unspecified,,,,Ratio IC50,<,2,,
77,103188912,5865,C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C,Active,,,Potential missing data,Inhibition,,,%,Active
78,103188954,5656,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,Inconclusive,,,Potential missing data,Inhibition,,,%,Not Determined
79,103188975,35370,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-],Active,,,Potential missing data,Inhibition,,,%,Active
80,103189253,54477,CCN1CCC[C@H]1CNC(=O)C2=C(C=CC(=C2OC)Br)OC,Active,,,Potential missing data,Inhibition,,,%,Active
81,103189263,5757,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,Active,,,Potential missing data,Inhibition,,,%,Active
82,103189265,3100,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,Active,,,Potential missing data,Inhibition,,,%,Active
83,103189345,4011,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24,Active,,,Potential missing data,Inhibition,,,%,Active
84,103189939,3339,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,Unspecified,,,,Ratio IC50,=,2,,
85,103191369,3033,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,Active,,,Potential missing data,Inhibition,,,%,Active
86,103191448,4044,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,Active,,,Potential missing data,Inhibition,,,%,Active
87,103192563,5991,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O,Active,,,Potential missing data,Inhibition,,,%,Active
88,103194727,57363,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC(C)(C)C)CC[C@@H]4[C@@]3(C=CC(=O)N4)C,Active,,,Potential missing data,Inhibition,,,%,Active
89,103195217,135398745,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,Inconclusive,,,Potential missing data,Inhibition,,,%,Not Determined
90,103198031,4917,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl,Active,,,Potential missing data,Inhibition,,,%,Active
91,103199241,31404,CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,Active,,,Potential missing data,Inhibition,,,%,Active
92,103199382,3878,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,Active,,,Potential missing data,Inhibition,,,%,Active
93,103201933,4768,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2,Active,,,Potential missing data,Inhibition,,,%,Active
94,103204298,750,C(C(=O)O)N,Active,,,Potential missing data,Inhibition,,,%,Active
95,103205106,5280980,C1[C@@H]2N(C1=O)[C@H](/C(=C/CO)/O2)C(=O)O,Inconclusive,,,Potential missing data,Inhibition,,,%,Not Determined
