CANONICAL_SMILES,INCHIKEY,active,common_name,action_type,SMILES,FDA_recommended,pChEMBL mean,pChEMBL std,appears_in_N_ChEMBL_assays,appears_in_N_datasets,dataset_ FDA,dataset_ChEMBL_curated,dataset_aid1851,dataset_aid891,dataset_flockheart,dataset_ncats_adme_aid1645840,dataset_veith_2009,inclusion_score
COC(=O)C1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]12,BLGXFZZNTVWLAY-UKQGOTKBSA-N,True,,inhibitor,,False,6.22,1.0037074132577537,15.0,3,False,True,True,True,False,False,False,18.0
CC(C)NC[C@@H](O)COc1cccc2ccccc12,AQHHHDLHHXJYJD-CQSZACIVSA-N,True,DEXPROPRANOLOL,inhibitor,,False,5.2092307692307696,0.262883419613509,13.0,4,False,True,True,True,False,True,False,17.0
COC(=O)C1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,BLGXFZZNTVWLAY-AMZRAFDVSA-N,True,YOHIMBINE,inhibitor,,False,6.1275,1.2741916204850374,8.0,5,False,True,True,True,False,True,True,13.0
CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,RTHCYVBBDHJXIQ-INIZCTEOSA-N,True,,inhibitor,,False,5.5200000000000005,0.3359894178227773,10.0,3,False,True,True,True,False,False,False,13.0
CN(C)CCOC(c1ccccc1)c1ccccc1,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,True,DIPHENHYDRAMINE,inhibitor,,False,5.26,0.3212475680841802,7.0,6,False,True,True,True,True,True,True,13.0
CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,YNNUSGIPVFPVBX-NHCUHLMSSA-N,True,CLEMASTINE,inhibitor,,False,5.474285714285714,0.5796222086513805,7.0,5,False,True,True,True,True,True,False,12.0
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,GDLIGKIOYRNHDA-UHFFFAOYSA-N,True,CLOMIPRAMINE,inhibitor,,False,5.514285714285714,0.2410295378065478,7.0,5,False,True,True,True,True,True,False,12.0
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,LNEPOXFFQSENCJ-UHFFFAOYSA-N,True,HALOPERIDOL,inhibitor,,False,5.206666666666667,0.2178684618449094,7.0,5,False,True,True,True,True,True,False,12.0
CNCCC=C1c2ccccc2CCc2ccccc21,PHVGLTMQBUFIQQ-UHFFFAOYSA-N,True,NORTRIPTYLINE,inhibitor,,False,5.34,0.4193873082077167,8.0,4,False,True,True,True,False,True,False,12.0
CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@H]1N1CCCC1,VQLPLYSROCPWFF-QZTJIDSGSA-N,True,U-50488 METHANE SULFONATE,inhibitor,,False,5.75,0.2878491668515697,8.0,4,False,True,True,True,False,False,True,12.0
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,LOUPRKONTZGTKE-LHHVKLHASA-N,True,QUINIDINE SULFATE,inhibitor,,True,7.61375,0.5269843451185244,9.0,3,True,True,False,False,True,False,False,12.0
Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1,WYWIFABBXFUGLM-UHFFFAOYSA-N,True,OXYMETAZOLINE,inhibitor,,False,6.014285714285714,1.1216484467493535,7.0,4,False,True,True,True,False,True,False,11.0
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,YECBIJXISLIIDS-UHFFFAOYSA-N,True,PYRILAMINE,inhibitor,,False,6.702857142857143,0.3194638365404493,7.0,4,False,True,True,True,False,True,False,11.0
CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,RDOIQAHITMMDAJ-UHFFFAOYSA-N,True,LOPERAMIDE,inhibitor,,False,5.785714285714286,1.4241120876164342,7.0,4,False,True,True,True,False,True,False,11.0
CN(C)CC/C=C1\c2ccccc2COc2ccccc21,ODQWQRRAPPTVAG-GZTJUZNOSA-N,True,E-DOXEPIN,inhibitor,,False,5.233333333333333,0.3386246693120079,6.0,5,False,True,True,True,True,True,False,11.0
Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,MRBDMNSDAVCSSF-UHFFFAOYSA-N,True,PHENTOLAMINE MESYLATE,inhibitor,,False,5.691666666666666,0.4363675820528681,6.0,5,False,True,True,True,False,True,True,11.0
CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,JURKNVYFZMSNLP-UHFFFAOYSA-N,True,CYCLOBENZAPRINE,inhibitor,,False,5.033333333333334,0.4226897995772631,6.0,5,False,True,True,True,False,True,True,11.0
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,True,CHLORPROMAZINE HYDROCHLORIDE,inhibitor,,False,6.421666666666667,0.3611324780003406,6.0,5,False,True,True,True,True,True,False,11.0
Nc1c2c(nc3ccccc13)CCCC2,YLJREFDVOIBQDA-UHFFFAOYSA-N,True,TACRINE,inhibitor,,False,5.223999999999999,0.8275747700359162,5.0,5,False,True,True,True,False,True,True,10.0
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,FGXWKSZFVQUSTL-UHFFFAOYSA-N,True,DOMPERIDONE,inhibitor,,False,5.42,0.1788854381999834,5.0,5,False,True,True,True,False,True,True,10.0
c1ccc2c(c1)OC[C@@H](C1=NCCN1)O2,HPMRFMKYPGXPEP-JTQLQIEISA-N,True,,inhibitor,,False,5.2,0.8197560612767677,6.0,4,False,True,True,True,False,False,True,10.0
COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,MKXZASYAUGDDCJ-NJAFHUGGSA-N,True,DEXTROMETHORPHAN HYDROBROMIDE,inhibitor,,False,5.536666666666666,0.1380821011813863,6.0,4,False,True,True,True,False,False,True,10.0
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,RGCVKNLCSQQDEP-UHFFFAOYSA-N,True,PERPHENAZINE,inhibitor,,False,7.155,0.4083707465853383,4.0,6,False,True,True,True,True,True,True,10.0
Clc1ccccc1CN1CCc2sccc2C1,PHWBOXQYWZNQIN-UHFFFAOYSA-N,True,TICLOPIDINE,inhibitor,,False,5.83,0.6600000000000005,4.0,6,False,True,True,True,True,True,True,10.0
Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,NAUWTFJOPJWYOT-UHFFFAOYSA-N,True,VANOXERINE,inhibitor,,False,5.8,0.3224903099319423,6.0,4,False,True,True,True,False,True,False,10.0
CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,JJCFRYNCJDLXIK-UHFFFAOYSA-N,True,CYPROHEPTADINE,inhibitor,,False,5.3,0.3224903099319416,6.0,4,False,True,True,True,False,True,False,10.0
O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,DKGZKTPJOSAWFA-UHFFFAOYSA-N,True,SPIPERONE,inhibitor,,False,5.8,0.1788854381999832,6.0,4,False,True,True,True,False,True,False,10.0
CSc1ccc2c(c1)[C@H](N1CCN(C)CC1)Cc1ccccc1S2,RLJFTICUTYVZDG-GOSISDBHSA-N,True,,inhibitor,,False,5.9,0.4979959839195494,6.0,4,False,True,True,True,False,False,True,10.0
CNCCCC12CCC(c3ccccc31)c1ccccc12,QSLMDECMDJKHMQ-UHFFFAOYSA-N,True,MAPROTILINE HYDROCHLORIDE,inhibitor,,False,5.19,0.2655183609470349,5.0,5,False,True,True,True,False,True,True,10.0
CN(C)C/C=C(\c1ccc(Br)cc1)c1cccnc1,OYPPVKRFBIWMSX-CXUHLZMHSA-N,True,,inhibitor,,False,5.433333333333334,0.1861898672502521,6.0,4,False,True,True,True,False,False,True,10.0
CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,ZCVMWBYGMWKGHF-UHFFFAOYSA-N,True,KETOTIFEN,inhibitor,,False,5.3,0.1788854381999833,6.0,4,False,True,True,True,False,True,False,10.0
C[C@@H]([C@H](O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,UYNVMODNBIQBMV-KKSFZXQISA-N,True,"(R,S)-IFENPRODIL",inhibitor,,False,6.333333333333333,0.3141125063837266,6.0,4,False,True,True,True,False,False,True,10.0
CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(C)[C@@H]1N2C,PIJVFDBKTWXHHD-UKRRQHHQSA-N,True,,inhibitor,,False,6.357142857142857,0.4353433237386435,7.0,3,False,True,True,True,False,False,False,10.0
CN1CCN2c3ccccc3Cc3ccccc3[C@@H]2C1,UEQUQVLFIPOEMF-SFHVURJKSA-N,True,,inhibitor,,False,6.066666666666666,1.5214028613968973,6.0,3,False,True,True,True,False,False,False,9.0
CNCC[C@@H](Oc1ccccc1C)c1ccccc1,VHGCDTVCOLNTBX-QGZVFWFLSA-N,True,ATOMOXETINE,inhibitor,,False,5.45,0.2886751345948128,4.0,5,False,True,True,True,False,True,True,9.0
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,LEBVLXFERQHONN-UHFFFAOYSA-N,True,LEVOBUPIVACAINE,inhibitor,,False,6.4275,0.1941434177783698,4.0,5,False,True,True,True,False,True,True,9.0
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,WIKYUJGCLQQFNW-UHFFFAOYSA-N,True,PROCHLORPERAZINE,inhibitor,,False,6.304,0.1925616784305749,5.0,4,False,True,True,True,False,True,False,9.0
CN(C)CCCN1c2ccccc2Sc2ccccc21,ZGUGWUXLJSTTMA-UHFFFAOYSA-N,True,PROMAZINE,inhibitor,,False,6.864,0.3993494710150497,5.0,4,False,True,True,True,False,True,False,9.0
