CANONICAL_SMILES,INCHIKEY,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_CID,dataset,data_type,active,common_name,action_type
CC[C@@H]1CN2CC[C@@H]1C[C@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,LJOQGZACKSYWCH-NSMLZSOPSA-N,Active,6604612.0,aid891,assay,True,,inhibitor
CO[C@@]12C[C@@H](COC(=O)c3cncc(Br)c3)CN(C)[C@H]1Cc1cn(C)c3cccc2c13,YSEXMKHXIOCEJA-OECQAKIHSA-N,Active,6604463.0,aid891,assay,True,,inhibitor
COC(=O)C1=CO[C@@H](C)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,GRTOGORTSDXSFK-XJTZBENFSA-N,Active,441975.0,aid891,assay,True,,inhibitor
CNCCCCCCCCSc1nc(C(C)C)ccc1C(=O)c1cccs1,XDTWTSUSEOWBTP-UHFFFAOYSA-N,Active,6604953.0,aid891,assay,True,,inhibitor
CCC(Oc1ccc(Cl)cc1)C(=O)OC1C[C@H]2CC[C@@H](C1)N2C,WTPAXDRULIZRDJ-CBHXASLJSA-N,Active,6604753.0,aid891,assay,True,,inhibitor
c1ccc(CN2CCC3(CCc4ccccc43)CC2)cc1,GSXJSGMDWKPVBY-UHFFFAOYSA-N,Active,4687238.0,aid891,assay,True,,inhibitor
CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@H]2c3cccc4c3c(cn4C)C[C@@H]21,WZHJKEUHNJHDLS-HARLFGEKSA-N,Active,6604355.0,aid891,assay,True,,inhibitor
CN1CCN2c3ccccc3Cc3ccccc3[C@@H]2C1,UEQUQVLFIPOEMF-SFHVURJKSA-N,Active,154412.0,aid891,assay,True,,inhibitor
COC(=O)NC(c1ccccc1)C(C(=O)OC)C(=O)OC,BCPCEFULDODURQ-UHFFFAOYSA-N,Active,10541888.0,aid891,assay,True,,inhibitor
CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@H]2c3cccc4c3c(cn4C)C[C@@H]21,WZHJKEUHNJHDLS-HARLFGEKSA-N,Active,6604355.0,aid891,assay,True,,inhibitor
CC1(C)CO[C@H](CC(=O)O)CN1,SEYCKMQSPUVYEF-ZCFIWIBFSA-N,Active,6604787.0,aid891,assay,True,,inhibitor
CCCCN(CCCC)CCCOC(=O)c1ccc(N)cc1,HQFWVSGBVLEQGA-UHFFFAOYSA-N,Active,2480.0,aid891,assay,True,,inhibitor
Clc1ccc2c(c1)N(CCCN1CCCC13CCCCC3)c1ccccc1S2,JGALTZABCXYMHO-UHFFFAOYSA-N,Active,227840.0,aid891,assay,True,,inhibitor
CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@H](CN1CCCC1)c1ccccc1,AEJOEPSMZCEYJN-HXUWFJFHSA-N,Active,3082718.0,aid891,assay,True,,inhibitor
O=C(O)C1=CCCN(CCON=C(c2ccccc2)c2ccccc2)C1,NGNALWDRPKNJGR-UHFFFAOYSA-N,Active,4515.0,aid891,assay,True,,inhibitor
C=CC(C)(C)C1=Nc2ccccc2C1=c1c(O)c(O)c(=C2C=Nc3c(CC=C(C)C)cccc32)c(O)c1O,OADCLFADOQRAOJ-UHFFFAOYSA-N,Active,3013166.0,aid891,assay,True,,inhibitor
COc1ccccc1CN1CC[C@@]2(CCCN(S(=O)(=O)c3ccccc3)C2)C1,DWDQVWPRINJETC-QFIPXVFZSA-N,Active,3233654.0,aid891,assay,True,,inhibitor
CN(CCc1ccc(Cl)c(Cl)c1)[C@H]1CCCC[C@H]1N1CCCC1,SRRUPDPTTGLICG-RBUKOAKNSA-N,Active,3036027.0,aid891,assay,True,,inhibitor
COc1ccccc1CC(Cc1nc2ccccc2[nH]1)c1nc2ccccc2[nH]1,FQFJIJMMCVBRBL-UHFFFAOYSA-N,Active,1099876.0,aid891,assay,True,,inhibitor
c1ccc([C@H]2NCCc3c2[nH]c2ccccc32)cc1,INERHEQVAVQJBO-MRXNPFEDSA-N,Active,746501.0,aid891,assay,True,,inhibitor
CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1,SNTQPLDRUZOSDP-UHFFFAOYSA-N,Active,4910.0,aid891,assay,True,,inhibitor
CN1[C@@H](CC(=O)c2ccccc2)CCC[C@@H]1C[C@@H](O)c1ccccc1,MXYUKLILVYORSK-NJDAHSKKSA-N,Active,1268140.0,aid891,assay,True,,inhibitor
CCN(CC)C(=O)N[C@@H]1C[C@H]2c3cccc4[nH]cc(c34)C[C@@H]2N(C)C1,JOAHPSVPXZTVEP-HFTRVMKXSA-N,Active,6604398.0,aid891,assay,True,,inhibitor
