CANONICAL_SMILES,INCHIKEY,pChEMBL mean,pChEMBL std,common_name,appears_in_N_ChEMBL_assays,action_type,dataset,active
COC(=O)C1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]12,BLGXFZZNTVWLAY-UKQGOTKBSA-N,6.22,1.0037074132577537,,15,,ChEMBL_curated,True
CC(C)NC[C@@H](O)COc1cccc2ccccc12,AQHHHDLHHXJYJD-CQSZACIVSA-N,5.2092307692307696,0.26288341961350903,DEXPROPRANOLOL,13,,ChEMBL_curated,True
CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,RTHCYVBBDHJXIQ-INIZCTEOSA-N,5.5200000000000005,0.33598941782277736,,10,,ChEMBL_curated,True
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,LOUPRKONTZGTKE-LHHVKLHASA-N,7.61375,0.5269843451185244,QUINIDINE SULFATE,9,,ChEMBL_curated,True
COC(=O)C1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,BLGXFZZNTVWLAY-AMZRAFDVSA-N,6.1275,1.2741916204850374,YOHIMBINE,8,,ChEMBL_curated,True
CNCCC=C1c2ccccc2CCc2ccccc21,PHVGLTMQBUFIQQ-UHFFFAOYSA-N,5.34,0.4193873082077167,NORTRIPTYLINE,8,,ChEMBL_curated,True
CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@H]1N1CCCC1,VQLPLYSROCPWFF-QZTJIDSGSA-N,5.75,0.2878491668515697,U-50488 METHANE SULFONATE,8,,ChEMBL_curated,True
CN(C)CCOC(c1ccccc1)c1ccccc1,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,5.26,0.3212475680841802,DIPHENHYDRAMINE,7,,ChEMBL_curated,True
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,LNEPOXFFQSENCJ-UHFFFAOYSA-N,5.206666666666667,0.2178684618449094,HALOPERIDOL,7,,ChEMBL_curated,True
CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,RDOIQAHITMMDAJ-UHFFFAOYSA-N,5.785714285714286,1.4241120876164342,LOPERAMIDE,7,,ChEMBL_curated,True
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,YECBIJXISLIIDS-UHFFFAOYSA-N,6.702857142857143,0.31946383654044935,PYRILAMINE,7,,ChEMBL_curated,True
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,GDLIGKIOYRNHDA-UHFFFAOYSA-N,5.514285714285714,0.24102953780654782,CLOMIPRAMINE,7,,ChEMBL_curated,True
CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,YNNUSGIPVFPVBX-NHCUHLMSSA-N,5.474285714285714,0.5796222086513805,CLEMASTINE,7,,ChEMBL_curated,True
Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1,WYWIFABBXFUGLM-UHFFFAOYSA-N,6.014285714285714,1.1216484467493535,OXYMETAZOLINE,7,,ChEMBL_curated,True
CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(C)[C@@H]1N2C,PIJVFDBKTWXHHD-UKRRQHHQSA-N,6.357142857142857,0.4353433237386435,,7,,ChEMBL_curated,True
COCCCC/C(=N/OCCN)c1ccc(C(F)(F)F)cc1,CJOFXWAVKWHTFT-ZHZULCJRSA-N,5.0,0.3224903099319421,,6,,ChEMBL_curated,True
COc1ccccc1N1CCN(C[C@@H](O)COc2cccc3ccccc23)CC1,HRRBJVNMSRJFHQ-HXUWFJFHSA-N,6.5,0.3577708763999668,,6,,ChEMBL_curated,True
Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C\c3ccccc3)CC2)cc1,SMANXXCATUTDDT-DAXSKMNVSA-N,5.5,0.23664319132398454,,6,,ChEMBL_curated,True
C=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@H]1[C@H]2C,LGQCVMYAEFTEFN-OAUYIBNBSA-N,5.3,0.7321202087089254,,6,,ChEMBL_curated,True
