SMILES,CYP2C9 Substrate Class,CYP2D6 Substrate Class,CYP3A4 Substrate Class,CYP2C9 Activity Class,CYP2D6 Activity Class,CYP3A4 Activity Class,CYP2C9 Inhibitor Class,CYP2D6 Inhibitor Class,CYP3A4_ Inhibitor Class,CANONICAL_SMILES,INCHIKEY,dataset,data_type,action_type,active,common_name
CC(C)(C)C1=C(O)C=CC(O)=C1,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,CC(C)(C)c1cc(O)ccc1O,BGNXCDMCOKJUMV-UHFFFAOYSA-N,XinXu_NCATS_ADME_raw,assay,substrate,False,
OC(=O)C\C(=C/C(O)=O)C(O)=O,,0.0,,0.0,0.0,0.0,,0,,O=C(O)C=C(CC(=O)O)C(=O)O,GTZCVFVGUGFEME-UHFFFAOYSA-N,XinXu_NCATS_ADME_raw,assay,substrate,False,
CC(C)=CCC\C(C)=C\CO,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,CC(C)=CCC/C(C)=C/CO,GLZPCOQZEFWAFX-JXMROGBWSA-N,XinXu_NCATS_ADME_raw,assay,substrate,True,
CC1=CC(N)=C2C=C(NC(=O)NC3=CC4=C(C=C3)N=C(C)C=C4N)C=CC2=N1,0.0,0.0,,0.0,1.0,0.0,0,1,,Cc1cc(N)c2cc(NC(=O)Nc3ccc4nc(C)cc(N)c4c3)ccc2n1,HOUSDILKOJMENG-UHFFFAOYSA-N,XinXu_NCATS_ADME_raw,assay,substrate,False,
CC1=C(O)C(CN)=C(CO)C=N1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Cc1ncc(CO)c(CN)c1O,NHZMQXZHNVQTQA-UHFFFAOYSA-N,XinXu_NCATS_ADME_raw,assay,substrate,False,
N[S+]([O-])(=O)C1=CC=C(C=C1)C(O)=O,0.0,0.0,1.0,,,,,,,N[S+](=O)([O-])c1ccc(C(=O)O)cc1,PULFRTVDTUHCQK-UHFFFAOYSA-N,XinXu_NCATS_ADME_raw,assay,substrate,False,
OC(CCN1CCCCC1)(C2=CC=CC=C2)C3=CC=CC=C3,0.0,1.0,0.0,0.0,1.0,0.0,0,subs/inhib,0,OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1,RQXCLMGKHJWMOA-UHFFFAOYSA-N,XinXu_NCATS_ADME_raw,assay,substrate,True,
OC1=C(SC2=C(O)C=CC(Cl)=C2)C=C(Cl)C=C1,1.0,0.0,0.0,0.0,0.0,1.0,0,0,1,Oc1ccc(Cl)cc1Sc1cc(Cl)ccc1O,ANUSOIHIIPAHJV-UHFFFAOYSA-N,XinXu_NCATS_ADME_raw,assay,substrate,False,
CN(C)CC\C=C1/C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2,1.0,1.0,1.0,0.0,1.0,0.0,0,subs/inhib,0,CN(C)CC/C=C1\c2ccccc2Sc2ccc(Cl)cc21,WSPOMRSOLSGNFJ-VGOFMYFVSA-N,XinXu_NCATS_ADME_raw,assay,substrate,True,
OP(O)(=O)OP(O)(O)=O,1.0,,1.0,0.0,0.0,0.0,0,,0,O=P(O)(O)OP(=O)(O)O,XPPKVPWEQAFLFU-UHFFFAOYSA-N,XinXu_NCATS_ADME_raw,assay,substrate,False,
CN(C)CCC=C1C2=C(C=CC=C2)C=CC3=C1C=CC=C3,0.0,1.0,0.0,0.0,1.0,0.0,0,subs/inhib,0,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,JURKNVYFZMSNLP-UHFFFAOYSA-N,XinXu_NCATS_ADME_raw,assay,substrate,True,
CCC1=C(C(=O)C2=CC(Br)=C(O)C(Br)=C2)C3=C(O1)C=CC=C3,1.0,0.0,0.0,1.0,0.0,1.0,subs/inhib,0,1,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,WHQCHUCQKNIQEC-UHFFFAOYSA-N,XinXu_NCATS_ADME_raw,assay,substrate,False,
OC(=O)[C@@H]1CCCN1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,O=C(O)C1CCCN1,ONIBWKKTOPOVIA-UHFFFAOYSA-N,XinXu_NCATS_ADME_raw,assay,substrate,False,
OC(=O)CP(O)(O)=O,0.0,1.0,,0.0,0.0,0.0,0,0,,O=C(O)CP(=O)(O)O,XUYJLQHKOGNDPB-UHFFFAOYSA-N,XinXu_NCATS_ADME_raw,assay,substrate,True,
CNCCC=C1C2=C(CCC3=C1C=CC=C3)C=CC=C2,0.0,1.0,0.0,0.0,1.0,0.0,0,subs/inhib,0,CNCCC=C1c2ccccc2CCc2ccccc21,PHVGLTMQBUFIQQ-UHFFFAOYSA-N,XinXu_NCATS_ADME_raw,assay,substrate,True,
ClC1=CC=C2N(C3CCN(CCCN4C(=O)NC5=C4C=CC=C5)CC3)C(=O)NC2=C1,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,FGXWKSZFVQUSTL-UHFFFAOYSA-N,XinXu_NCATS_ADME_raw,assay,substrate,False,
ClC1=C(C=CC=C1)C2=NC(=NO2)C3=CC=NC=C3,0.0,1.0,1.0,1.0,1.0,0.0,1,subs/inhib,0,Clc1ccccc1-c1nc(-c2ccncc2)no1,YXVGPSQAIBDQJD-UHFFFAOYSA-N,XinXu_NCATS_ADME_raw,assay,substrate,True,
