CANONICAL_SMILES,INCHIKEY,active,common_name,action_type,FDA_recommended,SMILES,pChEMBL mean,pChEMBL std,appears_in_N_ChEMBL_assays,appears_in_N_datasets,dataset_ChEMBL_curated,dataset_FDA,dataset_aid167201,dataset_aid1851,dataset_aid191971,dataset_aid884,dataset_flockheart,dataset_ncats_adme_aid1645841,dataset_veith_2009,inclusion_score
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,XMAYWYJOQHXEEK-UHFFFAOYSA-N,True,KETOCONAZOLE,inhibitor,True,,7.0135000000000005,0.6187957319622823,21.0,2,True,True,False,False,False,False,False,False,False,23.0
CCC1C(=O)OC[C@H]1Cc1cncn1C,QCHFTSOMWOSFHM-HNHGDDPOSA-N,True,SALAGEN,inhibitor,,,5.052941176470589,0.2853016978980836,17.0,3,True,False,False,True,False,True,False,False,False,20.0
CNCCCC12CCC(c3ccccc31)c1ccccc12,QSLMDECMDJKHMQ-UHFFFAOYSA-N,True,MAPROTILINE HYDROCHLORIDE,inhibitor,,,5.473846153846154,0.2814704976114565,13.0,6,True,False,True,True,False,True,False,True,True,19.0
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,VNFPBHJOKIVQEB-UHFFFAOYSA-N,True,CLOTRIMAZOLE,inhibitor,,,7.237692307692308,0.358797850378033,14.0,5,True,False,True,True,False,True,False,True,False,19.0
Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,LUKBXSAWLPMMSZ-UHFFFAOYSA-N,True,RESVERATROL,inhibitor,,,5.556363636363636,0.2352561466688053,11.0,6,True,False,True,True,True,True,False,True,False,17.0
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,BYBLEWFAAKGYCD-UHFFFAOYSA-N,True,MICONAZOLE NITRATE,inhibitor,,,6.06,0.608590024714354,12.0,5,True,False,False,True,False,True,False,True,True,17.0
CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@H]1N1CCCC1,VQLPLYSROCPWFF-QZTJIDSGSA-N,True,U-50488 METHANE SULFONATE,inhibitor,,,5.15,0.1732050807568873,12.0,4,True,False,False,True,False,True,False,False,True,16.0
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,SGTNSNPWRIOYBX-UHFFFAOYSA-N,True,VERAPAMIL HYDROCHLORIDE,inhibitor,True,,5.392,0.6442532283366706,10.0,6,True,True,True,False,False,True,True,True,False,16.0
CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1,CFJMRBQWBDQYMK-UHFFFAOYSA-N,True,CARBETAPENTANE CITRATE,inhibitor,,,5.1454545454545455,0.3236159339823566,11.0,5,True,False,False,True,False,True,False,True,True,16.0
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,REFJWTPEDVJJIY-UHFFFAOYSA-N,True,QUERCETIN,inhibitor,,,5.082857142857143,0.3066873699015706,7.0,8,True,False,True,True,True,True,True,True,True,15.0
Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc21,PCSWXVJAIHCTMO-UHFFFAOYSA-P,True,DEQUALINIUM CHLORIDE,inhibitor,,,5.372727272727273,0.3663083648810359,11.0,4,True,False,False,True,False,True,False,True,False,15.0
COc1cc(C(=O)OCCCN2CCCN(CCCOC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC,QVZCXCJXTMIDME-UHFFFAOYSA-N,True,DILAZEP,inhibitor,,,5.033333333333333,0.0499999999999998,9.0,6,True,False,True,True,False,True,False,True,True,15.0
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,XQYZDYMELSJDRZ-UHFFFAOYSA-N,True,PAPAVERINE HYDROCHLORIDE,inhibitor,,,5.69,0.1197218999737869,10.0,5,True,False,True,True,False,True,False,True,False,15.0
CN(C)C/C=C(\c1ccc(Br)cc1)c1cccnc1,OYPPVKRFBIWMSX-CXUHLZMHSA-N,True,,inhibitor,,,5.2,0.3692744729379982,12.0,3,True,False,False,True,False,True,False,False,False,15.0
CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,YNNUSGIPVFPVBX-NHCUHLMSSA-N,True,CLEMASTINE,inhibitor,,,5.4,0.2999999999999996,9.0,5,True,False,True,True,False,True,False,True,False,14.0
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,KZNIFHPLKGYRTM-UHFFFAOYSA-N,True,APIGENIN,inhibitor,,,5.55,0.3338091841585124,8.0,6,True,False,True,True,True,True,False,True,False,14.0
c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,OQDPVLVUJFGPGQ-UHFFFAOYSA-N,True,PIRIBEDIL,inhibitor,,,5.333333333333333,0.2500000000000001,9.0,5,True,False,True,True,False,True,False,True,False,14.0
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,RJMUSRYZPJIFPJ-UHFFFAOYSA-N,True,NICLOSAMIDE,inhibitor,,,5.3625,0.350255009141299,8.0,6,True,False,True,True,False,True,False,True,True,14.0
C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,INVGWHRKADIJHF-UHFFFAOYSA-N,True,SANGUINARIUM,inhibitor,,,5.125,0.3105295017040592,8.0,6,True,False,True,True,False,True,False,True,True,14.0
NNCCc1ccccc1,RMUCZJUITONUFY-UHFFFAOYSA-N,True,PHENELZINE SULFATE,inhibitor,,,5.322222222222222,0.2279132388529558,9.0,5,True,False,True,True,False,True,False,True,False,14.0
CC(C)CC1C(=O)N2CCC[C@@H]2[C@]2(O)O[C@](NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,OZVBMTJYIDMWIL-YKJQSKOWSA-N,True,,inhibitor,,,6.1,0.0866025403784442,9.0,4,True,False,False,True,False,True,False,False,True,13.0
COc1c2occc2cc2ccc(=O)oc12,QXKHYNVANLEOEG-UHFFFAOYSA-N,True,METHOXSALEN,inhibitor,,,5.028571428571429,0.1603567451474544,7.0,6,True,False,True,True,False,True,False,True,True,13.0
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,ZNNLBTZKUZBEKO-UHFFFAOYSA-N,True,GLYBURIDE,inhibitor,,,5.25,0.2070196678027064,8.0,5,True,False,True,True,False,True,False,True,False,13.0
S=C(NC1CCCCC1)N1CCC(c2c[nH]cn2)CC1,QKDDJDBFONZGBW-UHFFFAOYSA-N,True,THIOPERAMIDE,inhibitor,,,6.371,0.5885660540670009,10.0,3,True,False,False,True,False,True,False,False,False,13.0
