PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103163840,3715,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
2,103163873,3357,CN1CCN(CC1)C2=C(C=C3C(=C2F)N(C=C(C3=O)C(=O)O)CCF)F,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
3,103163909,4539,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
4,103164270,3373,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
5,103164301,5591,CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C,Unspecified,,,,13.4304,AC50,=,13430.4,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
6,103164349,2375,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
7,103164453,2119,CC(C)NCC(COC1=CC=CC=C1CC=C)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
8,103164508,4032,CC1(C2CCC(C2)C1(C)NC)C,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
9,103164546,1775,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
10,103164700,3038,C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
