PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activation,Standard Deviation
RESULT_TYPE,,,,,,,,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Normalized percent activation of the primary screen at a compound concentration of 11.6 micromolar.,Standard deviation of the confirmation assay derived from the normalized percent inhibition of the triplicate data for each compound.
RESULT_UNIT,,,,,,,,PERCENT,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,11.6,
1,4263913,2219315,CCN1C2=C(C=C(C=C2)NC(=O)CSC3=NN=NN3C4=CC=CC=C4)C5=CC=CC=C51,Active,100,,,1106.85,35.0222
2,24828962,2091399,CC1=CC(=CC=C1)C(=O)N[C@@H](C(C)C)C(=O)NC2=NC=C(S2)C,Active,32,,,363.7,30.1738
3,85146623,44142481,COC1=CC=CC=C1C2=C(C3=CC4=C(C=C3S2)OCO4)C#CC5(CCCCC5)O,Active,28,,,313.94,17.7261
4,26725215,442142,C[C@@H]1C[C@@H]2[C@H]([C@@H]([C@]3([C@H]1C=CC3=O)C)OC(=O)C)C(=C)C(=O)O2,Active,25,,,283.4,7.76298
5,17414091,5350877,CC(C)(C)C1=CC=C(C=C1)C2=NNC(=S)N2/N=C/C3=CC=CN3C,Active,23,,,260.81,8.77048
6,26731782,16746003,CC(C)N1C=NC2=C(N=C(N=C21)N(CCCO)CCO)NC3=CC(=CC=C3)Cl,Active,23,,,255.03,3.73946
7,14736275,1183863,CC1=C(C2=C(O1)C3=CC=CC=C3C(=C2)NS(=O)(=O)C4=CC=C(C=C4)OC)C(=O)C,Active,22,,,254.57,8.85029
8,17412055,1490418,CN1C2=CC=CC=C2C3=C1SC(=C3)C(=O)NNS(=O)(=O)C4=CC=C(C=C4)OC,Active,22,,,245.75,30.0861
9,24815723,16194724,CCN(CC)C(=O)CN1C=C(C2=CC=CC=C21)C(=O)C(=O)N3CCC4=CC=CC=C43,Active,21,,,243.18,31.0912
10,22413871,1796152,CCN1C(=O)/C(=C\C2=C(N(C(=C2)C)CC3=CC=CC=C3)C)/NC1=O,Active,20,,,229.62,22.6068
11,14721251,1175681,CC1=C(C=C(C=C1)NC(=O)CSC2=NN=NN2C3=CC4=C(C=C3)OCO4)C,Active,20,,,226.22,27.6413
12,85201160,44202245,COC1=CC=CC=C1C2=C(C3=CC4=C(C=C3S2)OCO4)C(=O)OC,Active,20,,,225.87,11.3233
13,26664068,5804056,C1=CC=NC(=C1)/C=C/C(=O)C2=C(C(=CC(=C2)Cl)Cl)O,Active,19,,,219.38,18.4122
14,4261849,1248997,CC1=C(C=C(C=C1)C(=O)NC2=CC3=C(C=C2)OCO3)S(=O)(=O)N4CCCC4,Active,19,,,218.09,31.3055
15,17415337,2296485,C1=CC=C2C(=C1)C(=O)N(C2=O)CCCCN(C3=CC=C(C=C3)Cl)C(=O)C4=CC=C(C=C4)[N+](=O)[O-],Active,19,,,214.42,27.8287
16,16953010,2371954,CC1=C(C(=CC=C1)NC(=S)NN(CC2=CC=CC=C2)C3=CC=CC=C3)C,Active,19,,,213.53,12.4327
17,24787836,891285,C1CCN(C1)C2=CC=CC=C2NC(=O)C3=C(C=C(C=C3)[N+](=O)[O-])Cl,Active,19,,,212.21,7.21664
18,22410294,5145715,C1CCN(C1)S(=O)(=O)C2=CC=CC(=C2)NC(=O)C3=CC4=C(C=C3)OCO4,Active,18,,,208.66,27.3783
19,864625,665867,CC1=CC2=C(C=C1)N=C(N2)NCC3=CC=CC=C3,Active,18,,,207.92,33.1804
20,51086382,24892033,COCCN1C(=O)C2=C(C3=CC=CC=C3N2)N=C1SCC(=O)NCCC4=CC=CC=C4,Active,18,,,204.94,20.5815
21,56324392,24687049,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NS(=O)(=O)C3=C(C(=CC(=C3)C(=O)NCC4=CC=CO4)Cl)Cl,Active,18,,,200.9,23.6361
22,17403413,5719921,CC1=C(C2=CC=CC=C2N1)C(=O)/C=C/C3=CC=CC=C3,Active,18,,,199.99,31.9341
23,24836943,3522807,C1CN(C2=CC=CC=C21)S(=O)(=O)C3=CC=CC(=C3)C(=O)N4CCN(CC4)C5=CC=CC=N5,Active,18,,,199.89,8.82095
