CANONICAL_SMILES,INCHIKEY,active,common_name,action_type,FDA_recommended,pChEMBL mean,pChEMBL std,appears_in_N_ChEMBL_assays,appears_in_N_datasets,dataset_ChEMBL_curated,dataset_FDA,dataset_aid1347033,dataset_aid434939,dataset_aid720659,dataset_flockheart,inclusion_score
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,JQXXHWHPUNPDRT-ANMDCUJZSA-N,True,RIFAMPIN,agonist,False,5.691428571428572,0.6017316282039298,9.0,3,True,False,False,False,True,True,12.0
COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,YEEZWCHGZNKEEK-UHFFFAOYSA-N,True,ZAFIRLUKAST,agonist,False,5.5,0.7088370757797594,6.0,2,True,False,True,False,False,False,8.0
C=C[C@@]1(C)CC(=O)[C@]2(O)[C@@]3(C)[C@@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@@]2(C)O1,OHCQJHSOBUTRHG-KGGHGJDLSA-N,True,COLFORSIN,agonist,False,5.173333333333333,0.3655589327773752,5.0,3,True,False,True,False,True,False,8.0
O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,SGIWFELWJPNFDH-UHFFFAOYSA-N,True,T091317,inhibitor,False,7.5566666666666675,0.4140370353804917,6.0,1,True,False,False,False,False,False,7.0
COC(=O)C1=C(C#N)N=C(C)C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,KJWGEXJCWCYEMI-UHFFFAOYSA-N,True,NILVADIPINE,agonist,False,5.912,0.1872698587600258,6.0,1,True,False,False,False,False,False,7.0
O=c1[nH]c2ccccc2n1CCCN1CCN(C(c2ccccc2)c2ccccc2)CC1,BAINIUMDFURPJM-UHFFFAOYSA-N,True,OXATOMIDE,agonist,False,5.382,0.2486362805384602,5.0,2,True,False,True,False,False,False,7.0
CC(C)(ON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,ORFOPKXBNMVMKC-XPKAQORNSA-N,True,CEFTAZIDIME,agonist,False,6.62,0.1838477631085022,5.0,1,True,False,False,False,False,False,6.0
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,DTOSIQBPPRVQHS-PDBXOOCHSA-N,True,LINOLENIC ACID,agonist,False,6.293333333333333,2.1457244308935226,5.0,1,True,False,False,False,False,False,6.0
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC(C)=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,ORJMOWYWYBXFBE-QWQRBHLCSA-N,True,FLUOROMETHOLONE,agonist,False,5.43,0.4986983055916672,4.0,2,True,False,True,False,False,False,6.0
COC(=O)C1=C(C)N=C(C)C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],PKICUDXEAPMDNG-UHFFFAOYSA-N,True,NISOLDIPINE,agonist,False,5.12,0.2535087112244207,4.0,2,True,False,True,False,False,False,6.0
