,CANONICAL_SMILES,INCHIKEY,active,common_name,action_type,pChEMBL mean,pChEMBL std,appears_in_N_ChEMBL_assays,appears_in_N_datasets,dataset_ChEMBL_curated,dataset_carbon-mangels_2011,dataset_ncats_adme_aid1645841,dataset_novartis_2024,dataset_veith_2009
10250,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,XMAYWYJOQHXEEK-UHFFFAOYSA-N,True,KETOCONAZOLE,,7.0135000000000005,0.6187957319622823,21.0,1,True,False,False,False,False
10251,CCC1C(=O)OC[C@H]1Cc1cncn1C,QCHFTSOMWOSFHM-HNHGDDPOSA-N,True,SALAGEN,,5.052941176470589,0.2853016978980836,17.0,1,True,False,False,False,False
10252,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,VNFPBHJOKIVQEB-UHFFFAOYSA-N,True,CLOTRIMAZOLE,,7.237692307692308,0.358797850378033,14.0,3,True,True,True,False,False
10253,CNCCCC12CCC(c3ccccc31)c1ccccc12,QSLMDECMDJKHMQ-UHFFFAOYSA-N,True,MAPROTILINE HYDROCHLORIDE,,5.473846153846154,0.2814704976114565,13.0,3,True,False,True,False,True
10254,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,BYBLEWFAAKGYCD-UHFFFAOYSA-N,True,MICONAZOLE NITRATE,,6.06,0.608590024714354,12.0,3,True,False,True,False,True
10255,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@H]1N1CCCC1,VQLPLYSROCPWFF-QZTJIDSGSA-N,True,U-50488 METHANE SULFONATE,,5.15,0.1732050807568873,12.0,2,True,False,False,False,True
10256,CN(C)C/C=C(\c1ccc(Br)cc1)c1cccnc1,OYPPVKRFBIWMSX-CXUHLZMHSA-N,True,,,5.2,0.3692744729379982,12.0,1,True,False,False,False,False
10258,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1,CFJMRBQWBDQYMK-UHFFFAOYSA-N,True,CARBETAPENTANE CITRATE,,5.1454545454545455,0.3236159339823566,11.0,3,True,False,True,False,True
10257,Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,LUKBXSAWLPMMSZ-UHFFFAOYSA-N,True,RESVERATROL,,5.556363636363636,0.2352561466688053,11.0,2,True,False,True,False,False
10259,Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc21,PCSWXVJAIHCTMO-UHFFFAOYSA-P,True,DEQUALINIUM CHLORIDE,,5.372727272727273,0.3663083648810359,11.0,2,True,False,True,False,False
10260,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,SGTNSNPWRIOYBX-UHFFFAOYSA-N,True,VERAPAMIL HYDROCHLORIDE,,5.392,0.6442532283366706,10.0,3,True,False,True,True,False
10262,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,XQYZDYMELSJDRZ-UHFFFAOYSA-N,True,PAPAVERINE HYDROCHLORIDE,,5.69,0.1197218999737869,10.0,3,True,False,True,True,False
10261,S=C(NC1CCCCC1)N1CCC(c2c[nH]cn2)CC1,QKDDJDBFONZGBW-UHFFFAOYSA-N,True,THIOPERAMIDE,,6.371,0.5885660540670009,10.0,1,True,False,False,False,False
10266,COc1cc(C(=O)OCCCN2CCCN(CCCOC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC,QVZCXCJXTMIDME-UHFFFAOYSA-N,True,DILAZEP,,5.033333333333333,0.0499999999999998,9.0,3,True,False,True,False,True
10269,CC(C)CC1C(=O)N2CCC[C@@H]2[C@]2(O)O[C@](NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,OZVBMTJYIDMWIL-YKJQSKOWSA-N,True,,,6.1,0.0866025403784442,9.0,3,True,False,False,True,True
10271,COc1ccc(CCN(C)CCC[C@@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,SGTNSNPWRIOYBX-MHZLTWQESA-N,True,(S)-VERAPAMIL,,5.566666666666666,0.0499999999999997,9.0,3,True,True,False,True,False
10263,NNCCc1ccccc1,RMUCZJUITONUFY-UHFFFAOYSA-N,True,PHENELZINE SULFATE,,5.322222222222222,0.2279132388529558,9.0,2,True,False,True,False,False
10264,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,YNNUSGIPVFPVBX-NHCUHLMSSA-N,True,CLEMASTINE,,5.4,0.2999999999999996,9.0,2,True,False,True,False,False
10265,COc1cc(CNC(=O)CCCC/C=C\C(C)C)ccc1O,YKPUWZUDDOIDPM-VURMDHGXSA-N,True,ZUCAPSAICIN,,5.300000000000001,0.1500000000000003,9.0,2,True,False,False,True,False
10267,c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,OQDPVLVUJFGPGQ-UHFFFAOYSA-N,True,PIRIBEDIL,,5.333333333333333,0.2500000000000001,9.0,2,True,False,True,False,False
10268,CCCNC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1,JWHAUXFOSRPERK-SFHVURJKSA-N,True,propafenone,,5.333333333333333,0.0500000000000004,9.0,2,True,True,False,False,False
10270,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@H]1CCCC[C@@H]1N1CCCC1,VQLPLYSROCPWFF-ROUUACIJSA-N,True,(-)-U-50488,,5.166666666666667,0.0999999999999999,9.0,1,True,False,False,False,False
10272,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,INVGWHRKADIJHF-UHFFFAOYSA-N,True,SANGUINARIUM,,5.125,0.3105295017040592,8.0,3,True,False,True,False,True
10273,CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1,SNTQPLDRUZOSDP-UHFFFAOYSA-N,True,PROADIFEN HYDROCHLORIDE,,5.8125,0.1552647508520294,8.0,3,True,False,True,True,False
10276,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,GZUITABIAKMVPG-UHFFFAOYSA-N,True,RALOXIFENE HYDROCHLORIDE,,5.7125,0.15526475085203,8.0,3,True,False,True,True,False
10277,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,RJMUSRYZPJIFPJ-UHFFFAOYSA-N,True,NICLOSAMIDE,,5.3625,0.350255009141299,8.0,3,True,False,True,False,True
10280,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,ZNNLBTZKUZBEKO-UHFFFAOYSA-N,True,GLYBURIDE,,5.25,0.2070196678027064,8.0,3,True,True,True,False,False
10281,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,KZNIFHPLKGYRTM-UHFFFAOYSA-N,True,APIGENIN,,5.55,0.3338091841585124,8.0,2,True,False,True,False,False
10282,CCN(CC)C(=S)SSC(=S)N(CC)CC,AUZONCFQVSMFAP-UHFFFAOYSA-N,True,DISULFIRAM,,5.025,0.1388730149658825,8.0,2,True,False,True,False,False
10283,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,CURUTKGFNZGFSE-UHFFFAOYSA-N,True,DICYCLOMINE HYDROCHLORIDE,,5.4125,0.1552647508520295,8.0,2,True,False,True,False,False
10274,CC1CCC2C(=O)OC(CN=[N+]=[N-])CN2C1c1ccc(Br)cc1,AREWGIRYUHHIQN-UHFFFAOYSA-N,True,,,5.425000000000001,0.0462910049886273,8.0,1,True,False,False,False,False
10275,NCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12,IDEHCMNLNCJQST-UHFFFAOYSA-N,True,N-AMINOHEXYL-5-CHLORO-1-NAPTHALENESULFONAMIDE HYDROCHLORIDE,,5.525,0.1035098339013527,8.0,1,True,False,False,False,False
10278,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,QWCJHSGMANYXCW-UHFFFAOYSA-N,True,SULFAPHENAZOLE,,5.7,0.7634508123364225,8.0,1,True,False,False,False,False
10279,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,IKMDFBPHZNJCSN-UHFFFAOYSA-N,True,MYRICETIN,,5.0125,0.3440826312717009,8.0,1,True,False,False,False,False
10291,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,REFJWTPEDVJJIY-UHFFFAOYSA-N,True,QUERCETIN,,5.082857142857143,0.3066873699015706,7.0,4,True,True,True,False,True
10284,COc1c2occc2cc2ccc(=O)oc12,QXKHYNVANLEOEG-UHFFFAOYSA-N,True,METHOXSALEN,,5.028571428571429,0.1603567451474544,7.0,3,True,False,True,False,True
10286,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,SGDBTWWWUNNDEQ-UHFFFAOYSA-N,True,SARCOLYSIN,,5.257142857142857,0.2439750182371332,7.0,3,True,False,True,False,True
10285,CC(C)(C(=O)c1cccnc1)c1cccnc1,FJLBFSROUSIWMA-UHFFFAOYSA-N,True,METYRAPONE,,5.735714285714286,0.2851816463739759,7.0,2,True,False,False,False,True
10288,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,VGEREEWJJVICBM-UHFFFAOYSA-N,True,PHLORETIN,,5.142857142857143,0.3909694909544005,7.0,2,True,False,False,False,True
10290,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,DANYIYRPLHHOCZ-UHFFFAOYSA-N,True,ACACETIN,,5.428571428571429,0.2288688541085315,7.0,2,True,False,False,False,True
10292,CC(C)Cn1c(=O)n(C)c(=O)c2[nH]cnc21,APIXJSLKIYYUKG-UHFFFAOYSA-N,True,ISOBUTYLMETHYLXANTHINE,,5.085714285714286,0.2968084198523319,7.0,2,True,False,False,False,True
10293,O=C(C=Cc1ccc(O)cc1)c1ccc(O)cc1O,DXDRHHKMWQZJHT-UHFFFAOYSA-N,True,ISOLIQUIRITIGENIN,,5.328571428571428,0.2288688541085317,7.0,2,True,False,False,False,True
10287,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,RTIXKCRFFJGDFG-UHFFFAOYSA-N,True,CHRYSIN,,5.414285714285714,0.2193062655175134,7.0,1,True,False,False,False,False
10289,FC(F)(F)c1ccc(N(c2cccnc2)C2CCN(c3ccc(C(F)(F)F)cn3)CC2)cc1,XCJMUIWIEQFAQX-UHFFFAOYSA-N,True,,,5.07,0.2121320343559638,7.0,1,True,False,False,False,False
10366,COc1c2occc2c(OC)c2c(=O)cc(C)oc12,HSMPDPBYAYSOBC-UHFFFAOYSA-N,True,KHELLIN,,5.18,0.1643167672515497,6.0,4,True,False,True,True,True
