CANONICAL_SMILES,INCHIKEY,active,common_name,action_type,pChEMBL mean,pChEMBL std,appears_in_N_ChEMBL_assays,appears_in_N_datasets,dataset_ChEMBL_curated,dataset_carbon-mangels_2011,dataset_ncats_adme_aid1645841,dataset_novartis_2024,dataset_veith_2009,inclusion_score,MW,n_amides,products,carboxy,amine
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,XMAYWYJOQHXEEK-UHFFFAOYSA-N,True,KETOCONAZOLE,unknown,7.0135000000000005,0.6187957319622823,21.0,1,True,False,False,False,False,22.0,530.148760736,1,"('CC(=O)O', 'Clc1ccc(C2(Cn3ccnc3)OCC(COc3ccc(N4CCNCC4)cc3)O2)c(Cl)c1')",CC(=O)O,Clc1ccc(C2(Cn3ccnc3)OCC(COc3ccc(N4CCNCC4)cc3)O2)c(Cl)c1
CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@H]1N1CCCC1,VQLPLYSROCPWFF-QZTJIDSGSA-N,True,U-50488 METHANE SULFONATE,unknown,5.15,0.1732050807568873,12.0,2,True,False,False,False,True,14.0,368.142218812,1,"('O=C(O)Cc1ccc(Cl)c(Cl)c1', 'CN[C@@H]1CCCC[C@H]1N1CCCC1')",O=C(O)Cc1ccc(Cl)c(Cl)c1,CN[C@@H]1CCCC[C@H]1N1CCCC1
CC(C)CC1C(=O)N2CCC[C@@H]2[C@]2(O)O[C@](NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,OZVBMTJYIDMWIL-YKJQSKOWSA-N,True,,unknown,6.1,0.0866025403784442,9.0,3,True,False,False,True,True,12.0,653.2212814800001,3,"('CC(C)CCC(=O)N1CCC[C@@H]1C(O)O[C@@](NC(=O)C1C=C2c3cccc4[nH]c(Br)c(c34)C[C@H]2N(C)C1)(C(=O)O)C(C)C', 'CC(C)CC1N[C@@](O)(OC(NC(=O)C2C=C3c4cccc5[nH]c(Br)c(c45)C[C@H]3N(C)C2)C(C)C)[C@H]2CCCN2C1=O')",CC(C)CCC(=O)N1CCC[C@@H]1C(O)O[C@@](NC(=O)C1C=C2c3cccc4[nH]c(Br)c(c34)C[C@H]2N(C)C1)(C(=O)O)C(C)C,CC(C)CC1N[C@@](O)(OC(NC(=O)C2C=C3c4cccc5[nH]c(Br)c(c45)C[C@H]3N(C)C2)C(C)C)[C@H]2CCCN2C1=O
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,ZNNLBTZKUZBEKO-UHFFFAOYSA-N,True,GLYBURIDE,unknown,5.25,0.2070196678027064,8.0,3,True,True,True,False,False,11.0,493.14381967599996,3,"('COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)O)cc1', 'NC1CCCCC1')",COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)O)cc1,NC1CCCCC1
COc1cc(CNC(=O)CCCC/C=C\C(C)C)ccc1O,YKPUWZUDDOIDPM-VURMDHGXSA-N,True,ZUCAPSAICIN,unknown,5.300000000000001,0.1500000000000003,9.0,2,True,False,False,True,False,11.0,305.199093724,1,"('CC(C)/C=C\\CCCCC(=O)O', 'COc1cc(CN)ccc1O')",CC(C)/C=C\CCCCC(=O)O,COc1cc(CN)ccc1O
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,RJMUSRYZPJIFPJ-UHFFFAOYSA-N,True,NICLOSAMIDE,unknown,5.3625,0.350255009141299,8.0,3,True,False,True,False,True,11.0,325.986112096,1,"('O=C(O)c1cc(Cl)ccc1O', 'Nc1ccc([N+](=O)[O-])cc1Cl')",O=C(O)c1cc(Cl)ccc1O,Nc1ccc([N+](=O)[O-])cc1Cl
CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@H]1CCCC[C@@H]1N1CCCC1,VQLPLYSROCPWFF-ROUUACIJSA-N,True,(-)-U-50488,unknown,5.166666666666667,0.0999999999999999,9.0,1,True,False,False,False,False,10.0,368.142218812,1,"('O=C(O)Cc1ccc(Cl)c(Cl)c1', 'CN[C@H]1CCCC[C@@H]1N1CCCC1')",O=C(O)Cc1ccc(Cl)c(Cl)c1,CN[C@H]1CCCC[C@@H]1N1CCCC1
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,HSUGRBWQSSZJOP-LBAQZLPGSA-N,True,DILTIAZEM,unknown,5.485,0.1699999999999999,5.0,5,True,True,True,True,True,10.0,414.1613283119999,1,"('COc1ccc([C@H](Sc2ccccc2)C(OC(C)=O)C(=O)O)cc1', 'COc1ccc([C@@H](COC(C)=O)Sc2ccccc2NCCN(C)C)cc1')",COc1ccc([C@H](Sc2ccccc2)C(OC(C)=O)C(=O)O)cc1,COc1ccc([C@@H](COC(C)=O)Sc2ccccc2NCCN(C)C)cc1
CC(C)[C@@]1(NC(=O)C2C[C@H]3c4cccc5[nH]cc(c45)C[C@@H]3N(C)C2)O[C@@]2(O)[C@H]3CCCN3C(=O)C(Cc3ccccc3)N2C1=O,DEQITUUQPICUMR-LBQNKEKUSA-N,True,,unknown,5.966666666666668,0.3444802848737017,6.0,3,True,False,False,True,True,9.0,611.310769412,3,"('CC(C)[C@@](NC(=O)C1C[C@H]2c3cccc4[nH]cc(c34)C[C@@H]2N(C)C1)(OC(O)[C@H]1CCCN1C(=O)CCc1ccccc1)C(=O)O', 'CC(C)C(NC(=O)C1C[C@H]2c3cccc4[nH]cc(c34)C[C@@H]2N(C)C1)O[C@]1(O)NC(Cc2ccccc2)C(=O)N2CCC[C@@H]21')",CC(C)[C@@](NC(=O)C1C[C@H]2c3cccc4[nH]cc(c34)C[C@@H]2N(C)C1)(OC(O)[C@H]1CCCN1C(=O)CCc1ccccc1)C(=O)O,CC(C)C(NC(=O)C1C[C@H]2c3cccc4[nH]cc(c34)C[C@@H]2N(C)C1)O[C@]1(O)NC(Cc2ccccc2)C(=O)N2CCC[C@@H]21
COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,RUZYUOTYCVRMRZ-UHFFFAOYSA-N,True,,unknown,5.1000000000000005,0.2190890230020662,6.0,3,True,False,True,False,True,9.0,451.1855689,1,"('O=C(O)C1COc2ccccc2O1', 'COc1cc2nc(N3CCNCC3)nc(N)c2cc1OC')",O=C(O)C1COc2ccccc2O1,COc1cc2nc(N3CCNCC3)nc(N)c2cc1OC
