CANONICAL_SMILES,INCHIKEY,pChEMBL mean,pChEMBL std,common_name,appears_in_N_ChEMBL_assays,dataset,active
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,XMAYWYJOQHXEEK-UHFFFAOYSA-N,7.0135000000000005,0.6187957319622823,KETOCONAZOLE,21,ChEMBL_curated,True
CCC1C(=O)OC[C@H]1Cc1cncn1C,QCHFTSOMWOSFHM-HNHGDDPOSA-N,5.052941176470589,0.28530169789808363,SALAGEN,17,ChEMBL_curated,True
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,VNFPBHJOKIVQEB-UHFFFAOYSA-N,7.237692307692308,0.358797850378033,CLOTRIMAZOLE,14,ChEMBL_curated,True
CNCCCC12CCC(c3ccccc31)c1ccccc12,QSLMDECMDJKHMQ-UHFFFAOYSA-N,5.473846153846154,0.2814704976114565,MAPROTILINE HYDROCHLORIDE,13,ChEMBL_curated,True
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,BYBLEWFAAKGYCD-UHFFFAOYSA-N,6.06,0.608590024714354,MICONAZOLE NITRATE,12,ChEMBL_curated,True
CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@H]1N1CCCC1,VQLPLYSROCPWFF-QZTJIDSGSA-N,5.1499999999999995,0.17320508075688737,U-50488 METHANE SULFONATE,12,ChEMBL_curated,True
CN(C)C/C=C(\c1ccc(Br)cc1)c1cccnc1,OYPPVKRFBIWMSX-CXUHLZMHSA-N,5.2,0.3692744729379982,,12,ChEMBL_curated,True
Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,LUKBXSAWLPMMSZ-UHFFFAOYSA-N,5.556363636363636,0.23525614666880534,RESVERATROL,11,ChEMBL_curated,True
CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1,CFJMRBQWBDQYMK-UHFFFAOYSA-N,5.1454545454545455,0.3236159339823566,CARBETAPENTANE CITRATE,11,ChEMBL_curated,True
Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc21,PCSWXVJAIHCTMO-UHFFFAOYSA-P,5.372727272727273,0.3663083648810359,DEQUALINIUM CHLORIDE,11,ChEMBL_curated,True
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,SGTNSNPWRIOYBX-UHFFFAOYSA-N,5.392,0.6442532283366706,VERAPAMIL HYDROCHLORIDE,10,ChEMBL_curated,True
S=C(NC1CCCCC1)N1CCC(c2c[nH]cn2)CC1,QKDDJDBFONZGBW-UHFFFAOYSA-N,6.371,0.5885660540670009,THIOPERAMIDE,10,ChEMBL_curated,True
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,XQYZDYMELSJDRZ-UHFFFAOYSA-N,5.6899999999999995,0.11972189997378696,PAPAVERINE HYDROCHLORIDE,10,ChEMBL_curated,True
NNCCc1ccccc1,RMUCZJUITONUFY-UHFFFAOYSA-N,5.322222222222222,0.22791323885295586,PHENELZINE SULFATE,9,ChEMBL_curated,True
CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,YNNUSGIPVFPVBX-NHCUHLMSSA-N,5.3999999999999995,0.29999999999999966,CLEMASTINE,9,ChEMBL_curated,True
COc1cc(CNC(=O)CCCC/C=C\C(C)C)ccc1O,YKPUWZUDDOIDPM-VURMDHGXSA-N,5.300000000000001,0.15000000000000033,ZUCAPSAICIN,9,ChEMBL_curated,True
COc1cc(C(=O)OCCCN2CCCN(CCCOC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC,QVZCXCJXTMIDME-UHFFFAOYSA-N,5.033333333333333,0.0499999999999998,DILAZEP,9,ChEMBL_curated,True
