SMILES,log_kobs,pIC50_CYP3A4,pIC50_CYP2C9,pIC50_CYP2D6,Source,CANONICAL_SMILES,INCHIKEY,split,data_type,activity_class
CCCCc1nc2cc(/C=C/C(=O)NO)ccc2n1CCN(CC)CC.Cl.Cl,-2.131,4.957,4.733,4.823,ChEMBL,CCCCc1nc2cc(/C=C/C(O)=NO)ccc2n1CCN(CC)CC,JHDKZFFAIZKUCU-ZRDIBKRKSA-N,train,surrogate,negative
CCCCc1ccc(N/C=N/O)cc1,-2.3,4.597,4.857,4.716,ChEMBL,CCCCc1ccc(NC=NO)cc1,BQPCBRFOSWMALO-UHFFFAOYSA-N,train,surrogate,negative
C[C@H](Nc1cc(-c2sc(C3CCN(C)CC3)nc2-c2ccc(F)cc2)ccn1)c1ccccc1,-1.94,4.74,4.686,4.883,ChEMBL,C[C@H](Nc1cc(-c2sc(C3CCN(C)CC3)nc2-c2ccc(F)cc2)ccn1)c1ccccc1,HJEPFPDXSFKWQH-IBGZPJMESA-N,train,surrogate,weak_positive
CC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc3nc(N)n(S(=O)(=O)C(C)C)c3c2)[nH]1.CS(=O)(=O)O,-2.151,4.453,4.543,4.525,ChEMBL,CC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc3nc(N)n(S(=O)(=O)C(C)C)c3c2)[nH]1,OBNKFIQHMAHNEE-UHFFFAOYSA-N,train,surrogate,negative
CC(C)S(=O)(=O)n1c(N)nc2ccc(-c3[nH]c(C(C)(C)C)nc3-c3ccc(F)cc3)cc21.CS(=O)(=O)O.CS(=O)(=O)O,-2.283,4.372,4.432,4.463,ChEMBL,CC(C)S(=O)(=O)n1c(N)nc2ccc(-c3[nH]c(C(C)(C)C)nc3-c3ccc(F)cc3)cc21,ABAOSSRHMRVEJF-UHFFFAOYSA-N,train,surrogate,negative
O=[N+]([O-])c1cccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c12,-1.39,5.162,4.877,5.033,ChEMBL,O=[N+]([O-])c1cccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c12,FOTDWYFVTJDSLW-UHFFFAOYSA-N,train,surrogate,positive
CN(C)CCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1SCc1ccc(F)cc1,-1.641,5.12,4.737,4.945,ChEMBL,CN(C)CCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1SCc1ccc(F)cc1,BFCVOTGOHBEFMZ-UHFFFAOYSA-N,train,surrogate,weak_positive
Cc1ncc(C(O)c2c3cc(Cl)cc(C)c3nc3[nH]nc(C)c23)cn1,-1.732,4.959,4.806,4.701,ChEMBL,Cc1ncc(C(O)c2c3cc(Cl)cc(C)c3nc3[nH]nc(C)c23)cn1,BSQBUOMKYFGDQP-UHFFFAOYSA-N,train,surrogate,weak_positive
COc1ccc(C(O)c2c3cc(OC)cc(C)c3nc3[nH]nc(C)c23)cc1,-1.31,5.435,4.956,4.861,ChEMBL,COc1ccc(C(O)c2c3cc(OC)cc(C)c3nc3[nH]nc(C)c23)cc1,NJVOBGWGMQUPTG-UHFFFAOYSA-N,train,surrogate,positive
N[C@H](C(=O)N1CCC(Nc2ccc3[nH]ncc3c2)CC1)c1ccccc1,-1.304,5.629,4.988,5.253,ChEMBL,NC(C(=O)N1CCC(Nc2ccc3[nH]ncc3c2)CC1)c1ccccc1,AGVLKBKXJWTFQT-UHFFFAOYSA-N,train,surrogate,positive
Cc1n[nH]c(C)c1Cc1sc2c(c1C(=O)N1C[C@H](O)CO1)c(=O)n(C)c(=O)n2CC(C)C,-1.752,4.738,4.656,4.659,ChEMBL,Cc1n[nH]c(C)c1Cc1sc2c(c1C(=O)N1C[C@H](O)CO1)c(=O)n(C)c(=O)n2CC(C)C,ISIVOJWVBJIOFM-ZDUSSCGKSA-N,train,surrogate,weak_positive
CC(=O)N1CCC(C(=O)N2C[C@H](c3ccc(F)cc3C)[C@@H](c3nc(C(C)(C)c4cc(C(F)(F)F)cc(C(F)(F)F)c4)no3)C2)CC1,-2.119,4.942,4.797,4.742,ChEMBL,CC(=O)N1CCC(C(=O)N2C[C@H](c3nc(C(C)(C)c4cc(C(F)(F)F)cc(C(F)(F)F)c4)no3)[C@@H](c3ccc(F)cc3C)C2)CC1,BJBXILVBLCBQQY-FTJBHMTQSA-N,train,surrogate,negative
Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4CC5CCC4CC5)cc3c2[C@H](C)CNCCc2ccc3nsnc3c2)c1,-1.249,5.818,4.807,5.026,ChEMBL,Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4CC5CCC4CC5)cc3c2[C@H](C)CNCCc2ccc3nsnc3c2)c1,RMVSZBRIILAXIH-WUXOVTSDSA-N,train,surrogate,positive
