CANONICAL_SMILES,INCHIKEY,action_type,active,common_name,appears_in_N_datasets,dataset_CHEMBL1142817,dataset_XinXu_NCATS_ADME_raw,dataset_aid_589039_clinically_relevant,dataset_carbon-mangels_2011,dataset_drugbank,dataset_flockheart,assay_count,pChEMBL mean,inclusion_score
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,NKANXQFJJICGDU-QPLCGJKRSA-N,substrate,True,Tamoxifen,4,True,True,False,False,True,True,14.0,4.846153846153846,18.0
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,VNFPBHJOKIVQEB-UHFFFAOYSA-N,substrate,True,Clotrimazole,2,False,False,False,True,True,False,14.0,7.237692307692308,16.0
CNCCCC12CCC(c3ccccc31)c1ccccc12,QSLMDECMDJKHMQ-UHFFFAOYSA-N,substrate,True,maprotiline,2,False,True,False,True,False,False,13.0,5.473846153846154,15.0
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,GDLIGKIOYRNHDA-UHFFFAOYSA-N,substrate,True,Clomipramine,3,False,True,False,True,True,False,11.0,4.6454545454545455,14.0
COC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],OSUCQKNXQBPLDG-UHFFFAOYSA-N,substrate,True,Nifedipine,4,False,False,True,True,True,True,10.0,4.888,14.0
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,BYBLEWFAAKGYCD-UHFFFAOYSA-N,substrate,True,,1,False,True,False,False,False,False,12.0,6.06,13.0
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,SGTNSNPWRIOYBX-UHFFFAOYSA-N,substrate,True,Verapamil,3,False,True,False,False,True,True,10.0,5.392,13.0
Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc21,PCSWXVJAIHCTMO-UHFFFAOYSA-P,substrate,True,,1,False,True,False,False,False,False,11.0,5.372727272727273,12.0
Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,LUKBXSAWLPMMSZ-UHFFFAOYSA-N,substrate,True,,1,False,True,False,False,False,False,11.0,5.556363636363636,12.0
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,XQYZDYMELSJDRZ-UHFFFAOYSA-N,substrate,True,papaverine,2,False,True,False,True,False,False,10.0,5.69,12.0
