CANONICAL_SMILES,INCHIKEY,action_type,active,common_name,appears_in_N_datasets,dataset_CHEMBL1142817,dataset_XinXu_NCATS_ADME_raw,dataset_aid_589039_clinically_relevant,dataset_carbon-mangels_2011,dataset_drugbank,dataset_flockheart,assay_count,pChEMBL mean,inclusion_score,MW,n_amides,products,carboxy,amine
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,QWCRAEMEVRGPNT-UHFFFAOYSA-N,substrate,True,buspirone,5,False,True,True,True,True,True,6.0,4.8500000000000005,11.0,385.24777523200004,2,"('O=CCC1(CC(=O)O)CCCC1', 'CC1(CC(=O)NCCCCN2CCN(c3ncccn3)CC2)CCCC1')",O=CCC1(CC(=O)O)CCCC1,CC1(CC(=O)NCCCCN2CCN(c3ncccn3)CC2)CCCC1
O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,RRGUKTPIGVIEKM-UHFFFAOYSA-N,substrate,True,cilostazol,5,False,True,True,True,True,True,5.0,4.94,10.0,369.21647510400004,1,"('O=C(O)CCc1cccc(OCCCCc2nnnn2C2CCCCC2)c1', 'CCc1cc(OCCCCc2nnnn2C2CCCCC2)ccc1N')",O=C(O)CCc1cccc(OCCCCc2nnnn2C2CCCCC2)c1,CCc1cc(OCCCCc2nnnn2C2CCCCC2)ccc1N
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,ZNNLBTZKUZBEKO-UHFFFAOYSA-N,substrate,True,glyburide,2,False,False,False,True,True,False,8.0,5.25,10.0,493.14381967599996,3,"('COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)O)cc1', 'NC1CCCCC1')",COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)O)cc1,NC1CCCCC1
CC(C)c1nc(CN(C)C(=O)NC(C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,NCDNCNXCDXHOMX-BWGGSIGWSA-N,substrate,True,ritonavir,6,True,True,True,True,True,True,4.0,7.395,10.0,720.3127606359999,4,"('O=C(O)OCc1cncs1', 'CC(C)c1nc(CN(C)C(=O)NC(C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@@H](N)Cc2ccccc2)C(C)C)cs1')",O=C(O)OCc1cncs1,CC(C)c1nc(CN(C)C(=O)NC(C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@@H](N)Cc2ccccc2)C(C)C)cs1
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,HSUGRBWQSSZJOP-LBAQZLPGSA-N,substrate,True,diltiazem,5,True,True,False,True,True,True,5.0,5.485,10.0,414.1613283119999,1,"('COc1ccc([C@H](Sc2ccccc2)C(OC(C)=O)C(=O)O)cc1', 'COc1ccc([C@@H](COC(C)=O)Sc2ccccc2NCCN(C)C)cc1')",COc1ccc([C@H](Sc2ccccc2)C(OC(C)=O)C(=O)O)cc1,COc1ccc([C@@H](COC(C)=O)Sc2ccccc2NCCN(C)C)cc1
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,LEBVLXFERQHONN-UHFFFAOYSA-N,substrate,True,bupivacaine,4,True,True,False,True,True,False,5.0,4.8,9.0,288.22016351599996,1,"('CCCCN1CCCCC1C(=O)O', 'Cc1cccc(C)c1N')",CCCCN1CCCCC1C(=O)O,Cc1cccc(C)c1N
CC(C)(C)NC(=O)C1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,QWAXKHKRTORLEM-PVCXOJBVSA-N,substrate,True,saquinavir,6,True,True,True,True,True,True,3.0,5.54,9.0,670.3842687,4,"('O=C(O)c1ccc2ccccc2n1', 'CC(C)(C)NC(=O)C1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)C(N)CC(N)=O')",O=C(O)c1ccc2ccccc2n1,CC(C)(C)NC(=O)C1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)C(N)CC(N)=O
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,IAKHMKGGTNLKSZ-INIZCTEOSA-N,substrate,True,colchicine,5,True,True,False,True,True,True,4.0,5.599999999999999,9.0,399.16818752,1,"('CC(=O)O', 'COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](N)CC2')",CC(=O)O,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](N)CC2
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,MKXKFYHWDHIYRV-UHFFFAOYSA-N,substrate,True,Flutamide,3,False,True,False,True,True,False,5.0,5.14,8.0,276.07217687200006,1,"('CC(C)C(=O)O', 'Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1')",CC(C)C(=O)O,Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,RUZYUOTYCVRMRZ-UHFFFAOYSA-N,substrate,True,Doxazosin,2,False,True,False,False,True,False,6.0,5.1000000000000005,8.0,451.1855689,1,"('O=C(O)C1COc2ccccc2O1', 'COc1cc2nc(N3CCNCC3)nc(N)c2cc1OC')",O=C(O)C1COc2ccccc2O1,COc1cc2nc(N3CCNCC3)nc(N)c2cc1OC
